model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,zero_percent,outermost_linear
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1336.3798305199966,15.244594136755884,0.012920740991830826,11.664092063903809,0.001,3,128,4,1,cuda,100,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1350.4920227786145,15.244594136755884,0.01260392740368843,11.152822256088257,0.001,3,128,4,1,cuda,100,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1497.0379813524933,15.244594136755884,0.006470056250691414,57.012102365493774,0.001,3,128,4,1,cuda,500,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1725.5743050326305,15.244594136755884,0.007191931828856468,56.53037929534912,0.001,3,128,4,1,cuda,500,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1576.9785378493139,15.244594136755884,0.006908745970577002,47.870943546295166,0.001,3,128,4,1,cuda,500,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1344.2486064047857,15.244594136755884,0.007050528656691313,55.40634202957153,0.001,3,128,4,1,cuda,500,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1443.778537326389,15.244594136755884,0.007654240354895592,54.20126748085022,0.001,3,128,4,1,cuda,500,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1610.9264871987953,15.244594136755884,0.006723818834871054,110.43522810935974,0.001,3,128,4,1,cuda,1000,0.5,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1812.5782805701974,15.244594136755884,0.00688040629029274,108.9863166809082,0.001,3,128,4,1,cuda,1000,0.5,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1426.0521604647759,15.244594136755884,0.007540214341133833,96.84349417686462,0.001,3,128,4,1,cuda,1000,0.5,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1460.9640188357598,15.244594136755884,0.006507407873868942,107.18431305885315,0.001,3,128,4,1,cuda,1000,0.5,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1433.1315169532295,15.244594136755884,0.007350211497396231,92.72906494140625,0.001,3,128,4,1,cuda,1000,0.5,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1573.444181674615,15.244594136755884,0.007696529850363731,176.7043092250824,0.001,3,128,4,1,cuda,2000,0.5,True
