model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,271.91608491256693,22.721758502896183,0.003970806021243334,10.090823650360107,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,474.1914781521921,22.721758502896183,0.008258684538304806,10.091835260391235,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,317.8504525916165,22.721758502896183,0.004186712671071291,10.092583417892456,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,601.8584951786312,22.721758502896183,0.009193520992994308,10.093841075897217,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,401.42114944151604,22.721758502896183,0.00752198277041316,10.115885496139526,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,377.76952209881193,22.721758502896183,0.004838676191866398,10.092968463897705,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,13,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,245.77171054007698,22.721758502896183,0.004962008446455002,10.092226505279541,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,14,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,306.3838125941265,22.721758502896183,0.0041619534604251385,10.11676025390625,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,15,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,365.979413748745,22.721758502896183,0.006670001894235611,10.090996265411377,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,16,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,384.93277798694777,22.721758502896183,0.006158863194286823,10.092637777328491,0.001,3,128,3,1,cuda,1000,True,100,45
