model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,zero_fraction,refresh_interval,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,291.84958061412317,22.721758502896183,0.005601280368864536,13.991750717163086,0.001,3,128,3,1,cuda,2000,0.6,100,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,447.1362873368474,22.721758502896183,0.008307041600346565,14.061725616455078,0.001,3,128,3,1,cuda,2000,0.6,100,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,253.47284581032463,22.721758502896183,0.0048252795822918415,14.014756202697754,0.001,3,128,3,1,cuda,2000,0.6,100,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,247.2523283237115,22.721758502896183,0.004135150462388992,13.949584245681763,0.001,3,128,3,1,cuda,2000,0.6,100,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,335.90809331074297,22.721758502896183,0.008041593246161938,14.00131368637085,0.001,3,128,3,1,cuda,2000,0.6,100,True,100,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,286.2255715570616,22.721758502896183,0.0040558199398219585,15.62591814994812,0.001,3,128,3,1,cuda,2000,0.7,100,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,520.8513062667336,22.721758502896183,0.008503355085849762,15.677531480789185,0.001,3,128,3,1,cuda,2000,0.7,100,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,190.3207138449632,22.721758502896183,0.0034890116658061743,15.678640604019165,0.001,3,128,3,1,cuda,2000,0.7,100,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,180.91529921770416,22.721758502896183,0.0033446545712649822,15.606580018997192,0.001,3,128,3,1,cuda,2000,0.7,100,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,191.99544140102074,22.721758502896183,0.0035954394843429327,15.624492168426514,0.001,3,128,3,1,cuda,2000,0.7,100,True,100,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,223.58198418674698,22.721758502896183,0.0034642352256923914,17.27776265144348,0.001,3,128,3,1,cuda,2000,0.8,100,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,305.6300122364458,22.721758502896183,0.004815752152353525,17.331101655960083,0.001,3,128,3,1,cuda,2000,0.8,100,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,213.690461063002,22.721758502896183,0.003708269912749529,17.248476266860962,0.001,3,128,3,1,cuda,2000,0.8,100,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,292.8575983621988,22.721758502896183,0.006235922686755657,17.249016523361206,0.001,3,128,3,1,cuda,2000,0.8,100,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,264.8573565093708,22.721758502896183,0.005234729032963514,17.264332056045532,0.001,3,128,3,1,cuda,2000,0.8,100,True,100,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,388.1854618996821,22.721758502896183,0.006706188432872295,18.89696168899536,0.001,3,128,3,1,cuda,2000,0.9,100,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,437.4205219314759,22.721758502896183,0.007194723468273878,18.905540227890015,0.001,3,128,3,1,cuda,2000,0.9,100,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,214.43769609688755,22.721758502896183,0.0036843442358076572,18.914639711380005,0.001,3,128,3,1,cuda,2000,0.9,100,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,356.0182174008534,22.721758502896183,0.007058171555399895,18.935635566711426,0.001,3,128,3,1,cuda,2000,0.9,100,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,349.3973576598059,22.721758502896183,0.007426953874528408,18.891759157180786,0.001,3,128,3,1,cuda,2000,0.9,100,True,100,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,462.0640060240964,22.721758502896183,0.007560224272310734,20.539989709854126,0.001,3,128,3,1,cuda,2000,1.0,100,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,336.40088086721886,22.721758502896183,0.004319768399000168,20.521047353744507,0.001,3,128,3,1,cuda,2000,1.0,100,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,383.5362360901941,22.721758502896183,0.006874673068523407,20.53787636756897,0.001,3,128,3,1,cuda,2000,1.0,100,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,171.37088327267404,22.721758502896183,0.0030612368136644363,20.538150548934937,0.001,3,128,3,1,cuda,2000,1.0,100,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,231.84788372238955,22.721758502896183,0.003793024457991123,20.525498628616333,0.001,3,128,3,1,cuda,2000,1.0,100,True,100,45
