model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,input_scale,weight_scale,alpha,beta
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,486.76007153614455,14.228306765127137,0.007278394885361195,78.1731743812561,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,1.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,605.0561660705321,14.228306765127137,0.008852466009557247,78.17336964607239,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,1.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,507.5617639830154,14.228306765127137,0.007862699218094349,78.1637966632843,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,1.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,406.42162399598396,14.228306765127137,0.0070015424862504005,78.17118287086487,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,1.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,465.53623478288154,14.228306765127137,0.008137144148349762,78.17280125617981,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,1.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,927.2110355484438,14.228306765127137,0.013978200033307076,78.17027378082275,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,6.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1188.3913414072958,14.228306765127137,0.01673971302807331,78.17106485366821,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,6.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,897.2300242637216,14.228306765127137,0.014438170939683914,78.1690354347229,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,6.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,830.0936767904954,14.228306765127137,0.01441835705190897,78.17137813568115,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,6.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,731.2930236571285,14.228306765127137,0.013748028315603733,78.17478537559509,0.001,3,128,3,1,cuda,2000,256.0,1.0,1.0,6.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,256.37628508826975,14.228306765127137,0.004801094997674227,78.17118215560913,0.001,3,128,3,1,cuda,2000,256.0,1.0,6.0,1.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,314.09172105087015,14.228306765127137,0.005466069094836712,78.1766607761383,0.001,3,128,3,1,cuda,2000,256.0,1.0,6.0,1.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,253.2730139307229,14.228306765127137,0.00490942457690835,78.18168687820435,0.001,3,128,3,1,cuda,2000,256.0,1.0,6.0,1.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,231.06673961470884,14.228306765127137,0.00488057266920805,78.18604755401611,0.001,3,128,3,1,cuda,2000,256.0,1.0,6.0,1.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,258.2882035956325,14.228306765127137,0.004958620760589838,78.23655939102173,0.001,3,128,3,1,cuda,2000,256.0,1.0,6.0,1.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,520.5861087579484,14.228306765127137,0.0074768103659152985,78.17179274559021,0.001,3,128,3,1,cuda,2000,256.0,1.0,6.0,6.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,569.374375104585,14.228306765127137,0.007990582846105099,78.17782998085022,0.001,3,128,3,1,cuda,2000,256.0,1.0,6.0,6.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,465.58310847556896,14.228306765127137,0.007122720126062632,78.15946888923645,0.001,3,128,3,1,cuda,2000,256.0,1.0,6.0,6.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,440.91509919887886,14.228306765127137,0.007414279505610466,78.16736030578613,0.001,3,128,3,1,cuda,2000,256.0,1.0,6.0,6.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,455.0976667085007,14.228306765127137,0.007262214086949825,78.1745593547821,0.001,3,128,3,1,cuda,2000,256.0,1.0,6.0,6.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,517.0007556266734,10.728754365541327,0.007751683704555035,49.58076882362366,0.001,3,128,4,1,cuda,1000,256.0,1.0,1.0,1.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,593.2129782149431,10.728754365541327,0.008391080424189568,49.554561614990234,0.001,3,128,4,1,cuda,1000,256.0,1.0,1.0,1.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,470.41057981927713,10.728754365541327,0.007277608849108219,49.556193113327026,0.001,3,128,4,1,cuda,1000,256.0,1.0,1.0,1.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,436.7653779179217,10.728754365541327,0.0074086966924369335,49.54825019836426,0.001,3,128,4,1,cuda,1000,256.0,1.0,1.0,1.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,437.9772828292336,10.728754365541327,0.007273759692907333,49.54599642753601,0.001,3,128,4,1,cuda,1000,256.0,1.0,1.0,1.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,966.8109547565261,10.728754365541327,0.014648452401161194,49.55645489692688,0.001,3,128,4,1,cuda,1000,256.0,1.0,1.0,6.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1098.9609897925034,10.728754365541327,0.01569785736501217,49.58146262168884,0.001,3,128,4,1,cuda,1000,256.0,1.0,1.0,6.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,943.4366502468206,10.728754365541327,0.015012480318546295,49.5568413734436,0.001,3,128,4,1,cuda,1000,256.0,1.0,1.0,6.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,815.196038058484,10.728754365541327,0.014169421046972275,49.55252552032471,0.001,3,128,4,1,cuda,1000,256.0,1.0,1.0,6.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,758.0433478706493,10.728754365541327,0.014234887436032295,49.54923939704895,0.001,3,128,4,1,cuda,1000,256.0,1.0,1.0,6.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,228.8086499644411,10.728754365541327,0.004014105070382357,49.557225465774536,0.001,3,128,4,1,cuda,1000,256.0,1.0,6.0,1.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,280.90744619101406,10.728754365541327,0.004530229140073061,49.56198215484619,0.001,3,128,4,1,cuda,1000,256.0,1.0,6.0,1.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,208.76974303463857,10.728754365541327,0.0040503619238734245,49.54905843734741,0.001,3,128,4,1,cuda,1000,256.0,1.0,6.0,1.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,203.55708641859104,10.728754365541327,0.004036399535834789,49.55341649055481,0.001,3,128,4,1,cuda,1000,256.0,1.0,6.0,1.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,210.5720420745482,10.728754365541327,0.0041510374285280704,49.55515956878662,0.001,3,128,4,1,cuda,1000,256.0,1.0,6.0,1.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,478.48759491089356,10.728754365541327,0.007017425261437893,49.5547661781311,0.001,3,128,4,1,cuda,1000,256.0,1.0,6.0,6.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,552.1179143657965,10.728754365541327,0.007895967923104763,49.55769419670105,0.001,3,128,4,1,cuda,1000,256.0,1.0,6.0,6.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,481.83446023678044,10.728754365541327,0.007308270316570997,49.5585777759552,0.001,3,128,4,1,cuda,1000,256.0,1.0,6.0,6.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,407.0732722556894,10.728754365541327,0.006825786549597979,49.55315327644348,0.001,3,128,4,1,cuda,1000,256.0,1.0,6.0,6.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,450.6753733684739,10.728754365541327,0.00713540893048048,49.54947805404663,0.001,3,128,4,1,cuda,1000,256.0,1.0,6.0,6.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,474.05492935282797,10.728754365541327,0.006925228983163834,99.10562634468079,0.001,3,128,4,1,cuda,2000,256.0,1.0,1.0,1.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,546.3370094963186,10.728754365541327,0.007932944223284721,99.10435700416565,0.001,3,128,4,1,cuda,2000,256.0,1.0,1.0,1.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,445.3404764892905,10.728754365541327,0.00693197175860405,99.09465551376343,0.001,3,128,4,1,cuda,2000,256.0,1.0,1.0,1.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,360.931430147674,10.728754365541327,0.006234712898731232,99.09986138343811,0.001,3,128,4,1,cuda,2000,256.0,1.0,1.0,1.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,437.450867271168,10.728754365541327,0.006754783913493156,99.09712052345276,0.001,3,128,4,1,cuda,2000,256.0,1.0,1.0,1.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,933.3430832705824,10.728754365541327,0.014121316373348236,99.10359358787537,0.001,3,128,4,1,cuda,2000,256.0,1.0,1.0,6.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,916.7432385793172,10.728754365541327,0.012901684269309044,99.1053957939148,0.001,3,128,4,1,cuda,2000,256.0,1.0,1.0,6.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,822.3538385312081,10.728754365541327,0.01290963776409626,99.09381747245789,0.001,3,128,4,1,cuda,2000,256.0,1.0,1.0,6.0
GaborNetwork,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,762.5152354208501,10.728754365541327,0.013232124038040638,99.10256671905518,0.001,3,128,4,1,cuda,2000,256.0,1.0,1.0,6.0
GaborNetwork,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,763.0633275288654,10.728754365541327,0.01423134095966816,99.09056353569031,0.001,3,128,4,1,cuda,2000,256.0,1.0,1.0,6.0
GaborNetwork,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,212.578508042587,10.728754365541327,0.0037247897125780582,99.1212158203125,0.001,3,128,4,1,cuda,2000,256.0,1.0,6.0,1.0
GaborNetwork,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,273.42276789449465,10.728754365541327,0.004227111116051674,99.10741376876831,0.001,3,128,4,1,cuda,2000,256.0,1.0,6.0,1.0
GaborNetwork,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,200.09306366089356,10.728754365541327,0.0038578780367970467,99.09524703025818,0.001,3,128,4,1,cuda,2000,256.0,1.0,6.0,1.0
