model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,zero_fraction,refresh_interval,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,507.868851708919,22.721758502896183,0.012855799868702888,3.7120139598846436,0.001,3,128,3,1,cuda,1000,0.2,1,True,100,45
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,410.3545261776272,22.721758502896183,0.01056042779237032,3.600877046585083,0.001,3,128,3,1,cuda,1000,0.2,1,True,100,45
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,478.7512916248327,22.721758502896183,0.012287832796573639,3.7267966270446777,0.001,3,128,3,1,cuda,1000,0.2,1,True,100,45
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,461.72767763763386,22.721758502896183,0.01114162988960743,3.567474842071533,0.001,3,128,3,1,cuda,1000,0.2,1,True,100,45
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,586.4084933483936,22.721758502896183,0.014126109890639782,3.8226206302642822,0.001,3,128,3,1,cuda,1000,0.2,1,True,100,45
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,462.98614117930055,22.721758502896183,0.011760767549276352,3.7592265605926514,0.001,3,128,3,1,cuda,1000,0.2,1,True,100,45
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,391.5963175619143,22.721758502896183,0.009260287508368492,3.530400037765503,0.001,3,128,3,1,cuda,1000,0.2,1,True,100,45
SIREN,13,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,376.99246987951807,22.721758502896183,0.010420404374599457,3.6414878368377686,0.001,3,128,3,1,cuda,1000,0.2,1,True,100,45
SIREN,14,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,502.78977759998327,22.721758502896183,0.012093568220734596,3.5750155448913574,0.001,3,128,3,1,cuda,1000,0.2,1,True,100,45
SIREN,15,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,408.0076987638052,22.721758502896183,0.010592633858323097,3.586216926574707,0.001,3,128,3,1,cuda,1000,0.2,1,True,100,45
SIREN,16,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,407.2281874895415,22.721758502896183,0.009858574718236923,3.5416600704193115,0.001,3,128,3,1,cuda,1000,0.2,1,True,100,45
SIREN,17,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,359.9863176664993,22.721758502896183,0.009361326694488525,3.523670196533203,0.001,3,128,3,1,cuda,1000,0.2,1,True,100,45
SIREN,18,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,414.476961230338,22.721758502896183,0.010683470405638218,3.575418710708618,0.001,3,128,3,1,cuda,1000,0.2,1,True,100,45
SIREN,19,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,420.7711510102912,22.721758502896183,0.010973459109663963,3.5774996280670166,0.001,3,128,3,1,cuda,1000,0.2,1,True,100,45
SIREN,20,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,406.43011499121485,22.721758502896183,0.010638733394443989,3.5778000354766846,0.001,3,128,3,1,cuda,1000,0.2,1,True,100,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,336.9161973414491,22.721758502896183,0.007648116908967495,4.448577642440796,0.001,3,128,3,1,cuda,1000,0.3,1,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,385.9799432103414,22.721758502896183,0.008333131670951843,4.51798939704895,0.001,3,128,3,1,cuda,1000,0.3,1,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,287.6131923527443,22.721758502896183,0.006501592230051756,4.434282064437866,0.001,3,128,3,1,cuda,1000,0.3,1,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,286.7258421707664,22.721758502896183,0.006611775606870651,4.420219659805298,0.001,3,128,3,1,cuda,1000,0.3,1,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,306.69285083040495,22.721758502896183,0.007453584112226963,4.459709167480469,0.001,3,128,3,1,cuda,1000,0.3,1,True,100,45
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,409.95161505396584,22.721758502896183,0.009133707731962204,4.556685209274292,0.001,3,128,3,1,cuda,1000,0.3,1,True,100,45
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,350.43432061579654,22.721758502896183,0.007570809684693813,4.473994255065918,0.001,3,128,3,1,cuda,1000,0.3,1,True,100,45
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,381.96943241716866,22.721758502896183,0.008819326758384705,4.527044296264648,0.001,3,128,3,1,cuda,1000,0.3,1,True,100,45
