model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,outermost_linear
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,88.5230876056012,0.02699531987309456,6.802132844924927,0.001,3,64,3,1,cuda,1000,True
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,88.5230876056012,0.027666030451655388,6.801396608352661,0.001,3,64,3,1,cuda,1000,True
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,88.5230876056012,0.027877168729901314,6.83725118637085,0.001,3,64,3,1,cuda,1000,False
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,88.5230876056012,0.030116844922304153,6.8358635902404785,0.001,3,64,3,1,cuda,1000,False
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,88.5230876056012,0.0269925519824028,6.834412574768066,0.001,3,64,3,1,cuda,1000,False
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,88.5230876056012,0.026978839188814163,6.836655378341675,0.001,3,64,3,1,cuda,1000,False
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,88.5230876056012,0.02771546132862568,6.832436561584473,0.001,3,64,3,1,cuda,1000,False
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,88.5230876056012,0.02791903167963028,13.600923776626587,0.001,3,64,3,1,cuda,2000,True
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,88.5230876056012,0.030031027272343636,13.597256660461426,0.001,3,64,3,1,cuda,2000,True
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,88.5230876056012,0.026943273842334747,13.598050832748413,0.001,3,64,3,1,cuda,2000,True
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,88.5230876056012,0.02697579935193062,13.597873210906982,0.001,3,64,3,1,cuda,2000,True
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,88.5230876056012,0.02765366993844509,13.59817886352539,0.001,3,64,3,1,cuda,2000,True
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,88.5230876056012,0.0275578573346138,13.666849851608276,0.001,3,64,3,1,cuda,2000,False
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,88.5230876056012,0.0300774984061718,13.665435075759888,0.001,3,64,3,1,cuda,2000,False
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,88.5230876056012,0.026896633207798004,13.662404298782349,0.001,3,64,3,1,cuda,2000,False
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,88.5230876056012,0.02699059061706066,13.66228437423706,0.001,3,64,3,1,cuda,2000,False
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,88.5230876056012,0.02763928845524788,13.661110639572144,0.001,3,64,3,1,cuda,2000,False
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,59.7553316147176,0.027966724708676338,0.9089717864990234,0.001,3,64,4,1,cuda,100,True
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,59.7553316147176,0.03015497699379921,0.908644437789917,0.001,3,64,4,1,cuda,100,True
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,59.7553316147176,0.027034549042582512,0.9079372882843018,0.001,3,64,4,1,cuda,100,True
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,59.7553316147176,0.027152713388204575,0.9084300994873047,0.001,3,64,4,1,cuda,100,True
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,59.7553316147176,0.027753587812185287,0.908820390701294,0.001,3,64,4,1,cuda,100,True
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,59.7553316147176,0.02804851159453392,0.9112193584442139,0.001,3,64,4,1,cuda,100,False
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,59.7553316147176,0.030242444947361946,0.910888671875,0.001,3,64,4,1,cuda,100,False
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,59.7553316147176,0.027155349031090736,0.9111089706420898,0.001,3,64,4,1,cuda,100,False
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,59.7553316147176,0.027251414954662323,0.912043571472168,0.001,3,64,4,1,cuda,100,False
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,59.7553316147176,0.02773694135248661,0.9111366271972656,0.001,3,64,4,1,cuda,100,False
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,59.7553316147176,0.02794800139963627,4.526249885559082,0.001,3,64,4,1,cuda,500,True
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,59.7553316147176,0.03007732518017292,4.526105165481567,0.001,3,64,4,1,cuda,500,True
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,59.7553316147176,0.026991991326212883,4.526583433151245,0.001,3,64,4,1,cuda,500,True
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,59.7553316147176,0.02701067551970482,4.527177333831787,0.001,3,64,4,1,cuda,500,True
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,59.7553316147176,0.0277361199259758,4.52632737159729,0.001,3,64,4,1,cuda,500,True
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,59.7553316147176,0.027953900396823883,4.543161630630493,0.001,3,64,4,1,cuda,500,False
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,59.7553316147176,0.030150532722473145,4.543152093887329,0.001,3,64,4,1,cuda,500,False
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,59.7553316147176,0.027005989104509354,4.542646646499634,0.001,3,64,4,1,cuda,500,False
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,59.7553316147176,0.02704130858182907,4.542474031448364,0.001,3,64,4,1,cuda,500,False
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,59.7553316147176,0.02770785242319107,4.543552398681641,0.001,3,64,4,1,cuda,500,False
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,59.7553316147176,0.027941644191741943,9.050798177719116,0.001,3,64,4,1,cuda,1000,True
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,59.7553316147176,0.030102059245109558,9.04903793334961,0.001,3,64,4,1,cuda,1000,True
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,59.7553316147176,0.0269628819078207,9.049340724945068,0.001,3,64,4,1,cuda,1000,True
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,59.7553316147176,0.0269915871322155,9.050288200378418,0.001,3,64,4,1,cuda,1000,True
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,59.7553316147176,0.027989879250526428,9.049438714981079,0.001,3,64,4,1,cuda,1000,True
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,59.7553316147176,0.02794044092297554,9.082594394683838,0.001,3,64,4,1,cuda,1000,False
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,59.7553316147176,0.030125107616186142,9.082157135009766,0.001,3,64,4,1,cuda,1000,False
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,59.7553316147176,0.02698899805545807,9.08328652381897,0.001,3,64,4,1,cuda,1000,False
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,59.7553316147176,0.027033384889364243,9.083342790603638,0.001,3,64,4,1,cuda,1000,False
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,59.7553316147176,0.027711544185876846,9.081976652145386,0.001,3,64,4,1,cuda,1000,False
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,59.7553316147176,0.027768192812800407,18.09783148765564,0.001,3,64,4,1,cuda,2000,True
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245146,59.7553316147176,0.03005768172442913,18.09513235092163,0.001,3,64,4,1,cuda,2000,True
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,59.7553316147176,0.026873549446463585,18.095496892929077,0.001,3,64,4,1,cuda,2000,True
