model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,sample_fraction,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,339.2306844565763,22.721758502896183,0.008071279153227806,2.9960310459136963,0.001,3,128,3,1,cuda,1000,0.2,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,315.59791771251673,22.721758502896183,0.007682708092033863,2.9833786487579346,0.001,3,128,3,1,cuda,1000,0.2,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,328.3566139558233,22.721758502896183,0.0076765138655900955,2.9946188926696777,0.001,3,128,3,1,cuda,1000,0.2,True,100,45
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,437.5526938483099,22.721758502896183,0.01019058283418417,3.1109960079193115,0.001,3,128,3,1,cuda,1000,0.2,True,100,45
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,359.7076456869143,22.721758502896183,0.008386681787669659,2.9883437156677246,0.001,3,128,3,1,cuda,1000,0.2,True,100,45
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,420.88722729459505,22.721758502896183,0.009981248527765274,2.984715461730957,0.001,3,128,3,1,cuda,1000,0.2,True,100,45
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,378.9146507906627,22.721758502896183,0.008305191062390804,2.994262218475342,0.001,3,128,3,1,cuda,1000,0.2,True,100,45
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,477.2431000041834,22.721758502896183,0.010896437801420689,3.0153772830963135,0.001,3,128,3,1,cuda,1000,0.2,True,100,45
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,403.39853162650604,22.721758502896183,0.009464363567531109,2.996046304702759,0.001,3,128,3,1,cuda,1000,0.2,True,100,45
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,340.3178717474063,22.721758502896183,0.00723812822252512,2.9828453063964844,0.001,3,128,3,1,cuda,1000,0.2,True,100,45
SIREN,13,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,346.78158467202144,22.721758502896183,0.008551977574825287,2.990190267562866,0.001,3,128,3,1,cuda,1000,0.2,True,100,45
SIREN,14,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,421.8219557919177,22.721758502896183,0.00885243434458971,3.006086826324463,0.001,3,128,3,1,cuda,1000,0.2,True,100,45
SIREN,15,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,336.50602409638554,22.721758502896183,0.008000264875590801,3.00518536567688,0.001,3,128,3,1,cuda,1000,0.2,True,100,45
SIREN,16,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,346.16205969712183,22.721758502896183,0.0077518075704574585,2.9958086013793945,0.001,3,128,3,1,cuda,1000,0.2,True,100,45
SIREN,17,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,335.9715136588019,22.721758502896183,0.007720788940787315,3.028317928314209,0.001,3,128,3,1,cuda,1000,0.2,True,100,45
SIREN,18,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,331.82011117386213,22.721758502896183,0.007779729552567005,2.991356134414673,0.001,3,128,3,1,cuda,1000,0.2,True,100,45
SIREN,19,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,350.5410862198795,22.721758502896183,0.008472123183310032,2.986191749572754,0.001,3,128,3,1,cuda,1000,0.2,True,100,45
SIREN,20,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,353.49099000167337,22.721758502896183,0.00842234492301941,3.0360121726989746,0.001,3,128,3,1,cuda,1000,0.2,True,100,45
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,313.01398824464525,22.721758502896183,0.007251515984535217,4.003198146820068,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,420.3446115189926,22.721758502896183,0.009336571209132671,3.998891830444336,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,307.822601604334,22.721758502896183,0.00750204361975193,4.002325534820557,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,282.78823627844713,22.721758502896183,0.007240283768624067,4.002202749252319,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,293.2390878618641,22.721758502896183,0.007356833666563034,3.997854471206665,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,397.61249163319945,22.721758502896183,0.009207582101225853,4.059176683425903,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,349.8020611090194,22.721758502896183,0.008241645991802216,4.002264738082886,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,387.752351855338,22.721758502896183,0.009473596699535847,4.003878116607666,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,375.1668954463688,22.721758502896183,0.008413750678300858,4.000811815261841,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,447.9678845590696,22.721758502896183,0.01026854570955038,3.9991683959960938,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,387.70087119310574,22.721758502896183,0.009329516440629959,4.003573656082153,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,316.8810293256359,22.721758502896183,0.006621999200433493,4.000664472579956,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,13,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,321.621140813253,22.721758502896183,0.008097229525446892,4.000080823898315,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,14,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,375.13938828229584,22.721758502896183,0.008039567619562149,4.001108169555664,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
SIREN,15,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,337.9073337621319,22.721758502896183,0.0077588739804923534,4.005936861038208,0.001,3,128,3,1,cuda,1000,0.3,True,100,45
