model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,zero_fraction,refresh_interval,outermost_linear
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,605.7896965466031,22.721758502896183,0.014544539153575897,2.7344295978546143,0.001,3,128,3,1,cuda,1000,0.1,100,True
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,574.5153230107932,22.721758502896183,0.014417163096368313,2.7134172916412354,0.001,3,128,3,1,cuda,1000,0.1,100,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,587.0957462663152,22.721758502896183,0.014666744507849216,2.7699272632598877,0.001,3,128,3,1,cuda,1000,0.1,100,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,13570.467629633116,22.721758502896183,0.21258026361465454,2.8084707260131836,0.001,3,128,3,1,cuda,1000,0.1,100,False
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,12855.343620576054,22.721758502896183,0.1943160742521286,2.9263699054718018,0.001,3,128,3,1,cuda,1000,0.1,100,False
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,21601.549670034303,22.721758502896183,0.29258888959884644,2.7778453826904297,0.001,3,128,3,1,cuda,1000,0.1,100,False
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,15138.722460153112,22.721758502896183,0.24254700541496277,2.7644565105438232,0.001,3,128,3,1,cuda,1000,0.1,100,False
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,12550.931339943107,22.721758502896183,0.1982092559337616,2.7912471294403076,0.001,3,128,3,1,cuda,1000,0.1,100,False
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,645.4926607471552,22.721758502896183,0.015846265479922295,2.7518270015716553,0.001,3,128,3,1,cuda,1000,0.1,500,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,802.455414104334,22.721758502896183,0.017957596108317375,2.844846487045288,0.001,3,128,3,1,cuda,1000,0.1,500,True
