model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,24,outer/12-2_11-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,220.3549340591533,22.721758502896183,0.0034570705611258745,10.131664514541626,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,25,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,331.5820495523762,22.721758502896183,0.006154780276119709,10.1323561668396,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,26,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,433.89808060366465,22.721758502896183,0.006445296574383974,10.13215160369873,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,27,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,371.5268482785308,22.721758502896183,0.00538387568667531,10.132563591003418,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,28,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,322.8009145958835,22.721758502896183,0.005942653398960829,10.130861759185791,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,29,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,239.01060361236614,22.721758502896183,0.0029994992073625326,10.13144564628601,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,30,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,161.44425357680723,22.721758502896183,0.003199456026777625,10.128883600234985,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,31,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,307.89248399849396,22.721758502896183,0.00625620037317276,10.13631820678711,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,32,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,533.8327489646084,22.721758502896183,0.006311186123639345,10.128187894821167,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,33,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,216.50259109354084,22.721758502896183,0.0030212164856493473,10.133254528045654,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,34,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,268.90190841490966,22.721758502896183,0.00447839917615056,10.131148338317871,0.001,3,128,3,1,cuda,1000,True,100,45
SIREN,35,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,283.83910904032797,22.721758502896183,0.005568412598222494,10.133252143859863,0.001,3,128,3,1,cuda,1000,True,100,45
