model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,sample_fraction,max_iters,outermost_linear,first_omega_zero,hidden_omega_zero
SIREN,23,outer/12-2_10-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,442.7502954526439,22.721758502896183,0.010254413820803165,3.6462769508361816,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,24,outer/12-2_11-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,333.8669547983601,22.721758502896183,0.007813517935574055,3.6343743801116943,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,25,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,291.81197576765396,22.721758502896183,0.006418205797672272,3.63826847076416,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,26,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,305.75841778572624,22.721758502896183,0.006238916888833046,3.6162965297698975,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,27,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,271.5507171916834,22.721758502896183,0.005054670386016369,3.6225621700286865,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,28,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,261.0608906982095,22.721758502896183,0.00582245783880353,3.624528408050537,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,29,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,316.52225961136213,22.721758502896183,0.006802318152040243,3.616177797317505,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,30,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,262.94237104668673,22.721758502896183,0.005928330589085817,3.643401622772217,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,31,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,267.05611769996653,22.721758502896183,0.00606508506461978,3.613572359085083,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,32,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,332.85980510584005,22.721758502896183,0.006598128471523523,3.6346967220306396,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,33,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,285.6918860337182,22.721758502896183,0.0062084197998046875,3.6480910778045654,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,34,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,241.22262618181057,22.721758502896183,0.005085645709186792,3.635585308074951,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,35,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,235.17323068314926,22.721758502896183,0.005189080256968737,3.647667407989502,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,36,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,234.39253106174698,22.721758502896183,0.005311383865773678,3.6524181365966797,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,37,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,214.12592949924698,22.721758502896183,0.004387155640870333,3.6259403228759766,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,38,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,226.74143579526438,22.721758502896183,0.005201405845582485,3.611018657684326,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,39,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,264.50333495440094,22.721758502896183,0.006227643694728613,3.7206006050109863,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
SIREN,40,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,334.5173924866131,22.721758502896183,0.006364461034536362,3.6084017753601074,0.001,3,128,3,1,cuda,0.1,2000,True,100,45
