model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,in_features,hidden_features,hidden_layers,out_features,device,max_iters,outermost_linear
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1260.467845339692,628.5357436318817,0.02280704863369465,1.9156968593597412,0.001,3,32,2,1,cuda,1000,True
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1247.7782379518073,628.5357436318817,0.023445578292012215,1.951927661895752,0.001,3,32,2,1,cuda,1000,True
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1554.0732513386881,628.5357436318817,0.0252090971916914,1.9376332759857178,0.001,3,32,2,1,cuda,1000,False
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1818.864123159304,628.5357436318817,0.027698881924152374,1.9507014751434326,0.001,3,32,2,1,cuda,1000,False
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1471.3845538403614,628.5357436318817,0.024668008089065552,1.963470697402954,0.001,3,32,2,1,cuda,1000,False
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1361.1726776899263,628.5357436318817,0.024721048772335052,1.9854257106781006,0.001,3,32,2,1,cuda,1000,False
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1333.2352495921184,628.5357436318817,0.02510147914290428,1.9792611598968506,0.001,3,32,2,1,cuda,1000,False
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1418.7668930932061,628.5357436318817,0.023171864449977875,3.871907949447632,0.001,3,32,2,1,cuda,2000,True
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1677.05269384831,628.5357436318817,0.02538405731320381,3.822986125946045,0.001,3,32,2,1,cuda,2000,True
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1372.4160195469378,628.5357436318817,0.022985761985182762,3.8388988971710205,0.001,3,32,2,1,cuda,2000,True
