model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,fraction,refresh_interval,outermost_linear,first_omega_zero,hidden_omega_zero,original_psnr
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,558.0169649953982,22.721758502896183,0.006323448382318,1.8531804084777832,0.001,128,3,1000,0.1,1,True,100,45,32.731041460806104
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,694.0081524012718,22.721758502896183,0.0071753486990928,1.8694913387298584,0.001,128,3,1000,0.1,1,True,100,45,31.783869766953885
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,533.385148667587,22.721758502896183,0.0062885684892535,1.8692655563354488,0.001,128,3,1000,0.1,1,True,100,45,32.927106295420444
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,555.9181674615127,22.721758502896183,0.0098593467846512,1.9168310165405276,0.001,128,3,1000,0.1,1,True,100,45,32.747406817093534
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,457.8202405978079,22.721758502896183,0.006652018520981,1.8750343322753904,0.001,128,3,1000,0.1,1,True,100,45,33.59056559498857
SIREN,6,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,582.7341736738621,22.721758502896183,0.0076728677377104,1.879516839981079,0.001,128,3,1000,0.1,1,True,100,45,32.54281061305397
SIREN,7,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,665.7918039344879,22.721758502896183,0.0073141381144523,1.8695340156555176,0.001,128,3,1000,0.1,1,True,100,45,31.964131041884578
SIREN,8,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,647.7109035098729,22.721758502896183,0.0106946695595979,1.8504197597503664,0.001,128,3,1000,0.1,1,True,100,45,32.0837034077555
SIREN,9,outer/12-2_8-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,624.8194326786312,22.721758502896183,0.00666707707569,1.88205885887146,0.001,128,3,1000,0.1,1,True,100,45,32.23997020577332
SIREN,10,outer/12-2_9-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,774.8275288654619,22.721758502896183,0.0088430484756827,1.8474533557891848,0.001,128,3,1000,0.1,1,True,100,45,31.3054650638706
SIREN,11,outer/12-2_10-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,671.2647883199464,22.721758502896183,0.011426031589508,1.8289101123809812,0.001,128,3,1000,0.1,1,True,100,45,31.928576822158973
SIREN,12,outer/12-2_11-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,776.814311935241,22.721758502896183,0.0070131854154169,1.8437013626098635,0.001,128,3,1000,0.1,1,True,100,45,31.29434330403132
SIREN,13,outer/12-2_0-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,437.0385944820951,22.721758502896183,0.0073677697218954,1.8614513874053955,0.001,128,3,1000,0.1,1,True,100,45,33.79231757951146
SIREN,14,outer/12-2_1-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,607.6435102388722,22.721758502896183,0.0069694607518613,1.8733065128326416,0.001,128,3,1000,0.1,1,True,100,45,32.36102684859915
SIREN,15,outer/12-2_2-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,483.35160041206495,22.721758502896183,0.0064266566187143,1.8275723457336424,0.001,128,3,1000,0.1,1,True,100,45,33.354883878554006
SIREN,16,outer/12-2_3-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,671.8348275916164,22.721758502896183,0.0081936893984675,1.848356008529663,0.001,128,3,1000,0.1,1,True,100,45,31.924890350625716
SIREN,17,outer/12-2_4-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,607.6517698397757,22.721758502896183,0.0096925124526023,1.878615140914917,0.001,128,3,1000,0.1,1,True,100,45,32.36096781604708
SIREN,18,outer/12-2_5-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,562.044812060743,22.721758502896183,0.0075395829044282,1.868417739868164,0.001,128,3,1000,0.1,1,True,100,45,32.699806053424396
SIREN,19,outer/12-2_6-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,496.42367124749,22.721758502896183,0.0068145608529448,1.9221439361572263,0.001,128,3,1000,0.1,1,True,100,45,33.238990667400344
SIREN,20,outer/12-2_7-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,511.9915024682061,22.721758502896183,0.0067888651974499,1.888185977935791,0.001,128,3,1000,0.1,1,True,100,45,33.10488795724448
SIREN,21,outer/12-2_8-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,723.0865911562919,22.721758502896183,0.0095210997387766,1.848031997680664,0.001,128,3,1000,0.1,1,True,100,45,31.605612406709458
SIREN,22,outer/12-2_9-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,788.6657018699799,22.721758502896183,0.0112793464213609,1.847898244857788,0.001,128,3,1000,0.1,1,True,100,45,31.228585944790336
SIREN,23,outer/12-2_10-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,586.0107539533133,22.721758502896183,0.0099860113114118,1.8647634983062744,0.001,128,3,1000,0.1,1,True,100,45,32.5184596288598
SIREN,24,outer/12-2_11-1/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,448.8693341072624,22.721758502896183,0.0062129036523401,1.9371533393859863,0.001,128,3,1000,0.1,1,True,100,45,33.676316125187434
SIREN,25,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,423.7819716365462,22.721758502896183,0.0051530776545405,1.8499755859375,0.001,128,3,1000,0.1,1,True,100,45,33.926090715818034
SIREN,26,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,770.5823018637049,22.721758502896183,0.009033708833158,1.8532943725585935,0.001,128,3,1000,0.1,1,True,100,45,31.329325185141897
SIREN,27,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,596.8837916771251,22.721758502896183,0.0048410817980766,1.871004581451416,0.001,128,3,1000,0.1,1,True,100,45,32.43861762940852
SIREN,28,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,450.84289763219545,22.721758502896183,0.0079284217208623,1.867218255996704,0.001,128,3,1000,0.1,1,True,100,45,33.65726316373965
SIREN,29,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,563.4354501338688,22.721758502896183,0.0089289769530296,1.829625129699707,0.001,128,3,1000,0.1,1,True,100,45,32.689073803928466
SIREN,30,outer/12-2_5-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,315.96023678045515,22.721758502896183,0.0052476641722023,1.8445844650268557,0.001,128,3,1000,0.1,1,True,100,45,35.20119118153191
SIREN,31,outer/12-2_6-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,438.3048652945114,22.721758502896183,0.0085078468546271,1.9139056205749512,0.001,128,3,1000,0.1,1,True,100,45,33.779752573081296
SIREN,32,outer/12-2_7-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_2.npy,596.2018699799197,22.721758502896183,0.0053633595816791,1.853588819503784,0.001,128,3,1000,0.1,1,True,100,45,32.44358214908977
