lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,refresh_interval,fraction,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model,original_mse_std,training_time_std
0.001,128,3,1000,True,45,100,1,0.1,529.0846614060408,22.721758502896183,0.007128210174851074,1.86734215259552,33.10797296040589,SIREN,134.66305880416948,0.026615327057093466
0.001,128,3,1000,True,45,100,1,0.2,432.6012717013889,22.721758502896183,0.0061577068362384454,3.031053276062012,34.00537319224928,SIREN,118.38628561189451,0.027509187285097648
0.001,128,3,1000,True,45,100,1,0.3,396.652062939257,22.721758502896183,0.006148710809647988,4.080489649772644,34.37090178200186,SIREN,107.81764938826163,0.013786890312790826
0.001,128,3,1000,True,45,100,1,0.4,355.84348649807566,22.721758502896183,0.005412535970099218,5.045639882087707,34.890277173652066,SIREN,110.84530285951026,0.019909446536986782
0.001,128,3,1000,True,45,100,1,0.5,348.60091049092205,22.721758502896183,0.005374246449209694,5.950147590637207,34.97340346919068,SIREN,102.05846452888741,0.013268090833906211
0.001,128,3,1000,True,45,100,1,0.6,344.1164037399599,22.721758502896183,0.005381465894170062,6.885973725318909,35.08173249982164,SIREN,119.90290597377764,0.02064933268481862
0.001,128,3,1000,True,45,100,1,0.7,324.2117481906794,22.721758502896183,0.00509361476637418,7.799412627220153,35.287857515919434,SIREN,94.97607545122811,0.01841158446377888
0.001,128,3,1000,True,45,100,1,0.8,329.0364651052125,22.721758502896183,0.0052923938166349604,8.737732310295105,35.18848857800453,SIREN,89.27322922402159,0.013445289468450923
0.001,128,3,1000,True,45,100,1,0.9,327.07631565323794,22.721758502896183,0.005212619164958546,9.665628485679626,35.247719869386884,SIREN,92.97691531705274,0.01998938934029682
0.001,128,3,1000,True,45,100,1,1.0,323.76031291834005,22.721758502896183,0.005275396746583239,10.589368891716003,35.33215152560265,SIREN,103.39408491278407,0.02052542302684245
