lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,sample_fraction,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model,original_mse_std,training_time_std
0.001,128,3,1000,True,45,100,0.1,356.0819801079317,22.721758502896183,0.007901135617867065,1.843535270690918,34.811586122855914,SIREN,86.22488358386884,0.01074111206500567
0.001,128,3,1000,True,45,100,0.2,306.77354574548195,22.721758502896183,0.006995667219161942,2.9925604104995727,35.48376189341379,SIREN,79.89302931648868,0.010778103909859551
0.001,128,3,1000,True,45,100,0.3,288.0797764756945,22.721758502896183,0.006641460992395828,3.9568382501602173,35.76781191132458,SIREN,78.25806750849283,0.005742243598424664
0.001,128,3,1000,True,45,100,0.4,276.4565512048193,22.721758502896183,0.00644187953788782,5.002669010162354,35.93550149478947,SIREN,71.45430862298177,0.013212519033841786
0.001,128,3,1000,True,45,100,0.5,269.4917168936161,22.721758502896183,0.006275255205109667,5.924688715934753,36.04786932015456,SIREN,70.99116455146071,0.008274112094772234
0.001,128,3,1000,True,45,100,0.6,266.67670332371154,22.721758502896183,0.006251996033824938,6.855717940330505,36.10667824421331,SIREN,71.88138949875979,0.00230469242075018
0.001,128,3,1000,True,45,100,0.7,263.41143077518404,22.721758502896183,0.006184388259425706,7.754538435935974,36.16082285261675,SIREN,71.67573205905806,0.0037767005742530774
0.001,128,3,1000,True,45,100,0.8,261.4610882592871,22.721758502896183,0.0061292959609999765,8.683692045211792,36.18187572726372,SIREN,68.74973670130002,0.0085190075138033
0.001,128,3,1000,True,45,100,0.9,259.7795351196453,22.721758502896183,0.006105250008404206,9.602132406234741,36.204291378044516,SIREN,67.34538847544505,0.0016108968727429074
0.001,128,3,1000,True,45,100,1.0,257.1327335644662,22.721758502896183,0.006039976328611319,10.528627161979676,36.27248835265068,SIREN,71.15120328214522,0.0033283002202769882
