model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,fraction,refresh_interval,outermost_linear,first_omega_zero,hidden_omega_zero,original_psnr
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,541.4374333270582,22.721758502896183,0.0086380010470747,3.054619073867798,0.001,128,3,1000,0.2,1,True,100,45,32.86203270503299
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,448.1020409764057,22.721758502896183,0.0050642350688576,3.047045946121216,0.001,128,3,1000,0.2,1,True,100,45,33.68374626762611
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,453.3048469921352,22.721758502896183,0.0062312949448823,3.040426015853882,0.001,128,3,1000,0.2,1,True,100,45,33.63361185961029
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,416.52103988872153,22.721758502896183,0.0050553167238831,3.0749504566192627,0.001,128,3,1000,0.2,1,True,100,45,34.001146047847044
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,430.2645673841198,22.721758502896183,0.0052075148560106,3.0507924556732178,0.001,128,3,1000,0.2,1,True,100,45,33.86015965694419
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,412.1926821870817,22.721758502896183,0.0051479060202836,3.0496904850006104,0.001,128,3,1000,0.2,1,True,100,45,34.04651271450001
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,388.7602284136546,22.721758502896183,0.0049538179300725,3.042072057723999,0.001,128,3,1000,0.2,1,True,100,45,34.30069720146547
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,492.4059114060408,22.721758502896183,0.0052525252103805,3.0592172145843506,0.001,128,3,1000,0.2,1,True,100,45,33.27428290706809
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,551.2095138365963,22.721758502896183,0.0063577750697731,3.0507936477661133,0.001,128,3,1000,0.2,1,True,100,45,32.78434843911283
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,471.62327042545184,22.721758502896183,0.0064586694352328,3.05195689201355,0.001,128,3,1000,0.2,1,True,100,45,33.46156323234549
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,590.4354762801205,22.721758502896183,0.0088273212313652,3.0704922676086426,0.001,128,3,1000,0.2,1,True,100,45,32.48579104610275
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,388.1152735943775,22.721758502896183,0.0049943164922297,3.0829625129699707,0.001,128,3,1000,0.2,1,True,100,45,34.30790814794827
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,502.15261697833,22.721758502896183,0.0080611677840352,3.077498435974121,0.001,128,3,1000,0.2,1,True,100,45,33.18915818398337
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,417.5020864708835,22.721758502896183,0.0051048770546913,3.055428504943848,0.001,128,3,1000,0.2,1,True,100,45,33.99092898550997
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,527.4345402443106,22.721758502896183,0.0085870688781142,3.067718267440796,0.001,128,3,1000,0.2,1,True,100,45,32.97582981621541
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,456.0148249246988,22.721758502896183,0.0053155971691012,3.034783840179444,0.001,128,3,1000,0.2,1,True,100,45,33.60772587071218
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,508.5368949757363,22.721758502896183,0.0059403260238468,3.05617356300354,0.001,128,3,1000,0.2,1,True,100,45,33.1342908176771
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,477.1745889809237,22.721758502896183,0.0051714261062443,3.058959722518921,0.001,128,3,1000,0.2,1,True,100,45,33.410742406740795
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,383.2682147862282,22.721758502896183,0.0049377414397895,3.064009189605713,0.001,128,3,1000,0.2,1,True,100,45,34.362487449453866
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,521.8237755710342,22.721758502896183,0.0082523431628942,4.102997303009033,0.001,128,3,1000,0.3,1,True,100,45,33.02227686030349
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,324.7545546770415,22.721758502896183,0.0045035253278911,4.093974590301514,0.001,128,3,1000,0.3,1,True,100,45,35.08196298006675
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,449.3228892131024,22.721758502896183,0.0045871711336076,4.099544525146484,0.001,128,3,1000,0.3,1,True,100,45,33.67193005968089
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,436.4326720946285,22.721758502896183,0.0048572928644716,4.07524299621582,0.001,128,3,1000,0.3,1,True,100,45,33.7983429360771
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,426.5809383366801,22.721758502896183,0.00484269997105,4.087521314620972,0.001,128,3,1000,0.3,1,True,100,45,33.89750103561208
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,346.6576004538989,22.721758502896183,0.0047277570702135,4.067314386367798,0.001,128,3,1000,0.3,1,True,100,45,34.798508222389266
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,517.6110535893574,22.721758502896183,0.0081737535074353,4.075934171676636,0.001,128,3,1000,0.3,1,True,100,45,33.05748006644303
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,391.0165937186245,22.721758502896183,0.0047800038009881,4.080649614334106,0.001,128,3,1000,0.3,1,True,100,45,34.27556360661461
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,509.4783090696118,22.721758502896183,0.0079227508977055,4.069844484329224,0.001,128,3,1000,0.3,1,True,100,45,33.12625850026028
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,359.5159204526439,22.721758502896183,0.0045814430341124,4.08701491355896,0.001,128,3,1000,0.3,1,True,100,45,34.64033421748772
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,332.3625007843876,22.721758502896183,0.0044135199859738,4.113054990768433,0.001,128,3,1000,0.3,1,True,100,45,34.98139530710098
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,446.6411453104083,22.721758502896183,0.0067606978118419,4.095933675765991,0.001,128,3,1000,0.3,1,True,100,45,33.69792820273112
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,408.9732458479753,22.721758502896183,0.0048120389692485,4.07961893081665,0.001,128,3,1000,0.3,1,True,100,45,34.08056650443452
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,409.2291418277276,22.721758502896183,0.0050900494679808,4.078998565673828,0.001,128,3,1000,0.3,1,True,100,45,34.07784995857142
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,463.5142836972892,22.721758502896183,0.0079541150480508,4.0706658363342285,0.001,128,3,1000,0.3,1,True,100,45,33.53688426823075
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,398.2062442478247,22.721758502896183,0.0051126647740602,4.072393894195557,0.001,128,3,1000,0.3,1,True,100,45,34.19643482877026
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,496.3833158153447,22.721758502896183,0.0077145025134086,4.079054355621338,0.001,128,3,1000,0.3,1,True,100,45,33.239343729812944
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,365.1945032735107,22.721758502896183,0.0046258349902927,4.073853015899658,0.001,128,3,1000,0.3,1,True,100,45,34.572273166407214
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,347.27519583542505,22.721758502896183,0.0045596063137054,4.07935357093811,0.001,128,3,1000,0.3,1,True,100,45,34.79077783874124
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,409.9736511148762,22.721758502896183,0.0046727014705538,4.0683753490448,0.001,128,3,1000,0.3,1,True,100,45,34.0699560312816
