lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,zero_fraction,refresh_interval,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model,original_mse_std,training_time_std
0.001,128,3,1000,True,45,100,0.1,1,365.9375924531459,22.721758502896183,0.008521848889067724,2.992345681190491,34.68581670462253,SIREN,85.19253404008158,0.1616547893898153
0.001,128,3,1000,True,45,100,0.2,1,287.84865804363284,22.721758502896183,0.006043773218989322,3.892540621757507,35.78076209154908,SIREN,78.41922875917844,0.13556325130050134
0.001,128,3,1000,True,45,100,0.3,1,266.8407207998661,22.721758502896183,0.0052174015063792,4.8232418727874755,36.1074168770177,SIREN,72.0371706042437,0.11548741895826614
0.001,128,3,1000,True,45,100,0.4,1,254.7346387633869,22.721758502896183,0.00465556123759593,5.662157869338989,36.3085081476373,SIREN,72.23991528530782,0.10152205746381243
0.001,128,3,1000,True,45,100,0.5,1,252.51286207329318,22.721758502896183,0.0045048975152894325,6.49047667503357,36.36381041893465,SIREN,70.8703780718823,0.08174419503077787
0.001,128,3,1000,True,45,100,0.6,1,278.60672565261046,22.721758502896183,0.004994806563481646,7.311089539527893,35.96803270243648,SIREN,87.54328564063215,0.0642476712795848
0.001,128,3,1000,True,45,100,0.7,1,277.951226625251,22.721758502896183,0.004739690986461886,8.141002631187439,36.01116563764358,SIREN,93.24710850381155,0.04924562015201285
0.001,128,3,1000,True,45,100,0.8,1,293.48184689277946,22.721758502896183,0.0048861628165468105,8.978513793945313,35.81436995466015,SIREN,102.57176610943517,0.034668566413763334
0.001,128,3,1000,True,45,100,0.9,1,299.9971305534639,22.721758502896183,0.0048997217742725715,9.821086530685426,35.65002407680844,SIREN,95.61676789434216,0.036178079230912555
0.001,128,3,1000,True,45,100,1.0,1,314.7994876380522,22.721758502896183,0.004926009043119796,10.63274733543396,35.47200932866055,SIREN,108.15425804220233,0.014804650619453618
