model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,zero_fraction,refresh_interval,outermost_linear,original_psnr
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,605.7896965466031,22.721758502896183,0.0145445391535758,2.7344295978546143,0.001,128,3,1000,0.1,100,True,32.37429666318633
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,574.5153230107932,22.721758502896183,0.0144171630963683,2.713417291641236,0.001,128,3,1000,0.1,100,True,32.6044993243506
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,587.0957462663152,22.721758502896183,0.0146667445078492,2.769927263259888,0.001,128,3,1000,0.1,100,True,32.51042615007991
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,13570.467629633116,22.721758502896183,0.2125802636146545,2.808470726013184,0.001,128,3,1000,0.1,100,False,18.871567353394795
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,12855.343620576054,22.721758502896183,0.1943160742521286,2.9263699054718018,0.001,128,3,1000,0.1,100,False,19.10667859034764
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,21601.549670034303,22.721758502896183,0.2925888895988464,2.7778453826904297,0.001,128,3,1000,0.1,100,False,16.85266640717849
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,15138.722460153112,22.721758502896183,0.2425470054149627,2.7644565105438232,0.001,128,3,1000,0.1,100,False,18.396623216820274
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,12550.931339943108,22.721758502896183,0.1982092559337616,2.791247129440308,0.001,128,3,1000,0.1,100,False,19.210755949985852
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,645.4926607471552,22.721758502896183,0.0158462654799222,2.7518270015716557,0.001,128,3,1000,0.1,500,True,32.09860240065707
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,802.455414104334,22.721758502896183,0.0179575961083173,2.844846487045288,0.001,128,3,1000,0.1,500,True,31.153306372183817
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,646.0716106613955,22.721758502896183,0.0163496360182762,2.703209638595581,0.001,128,3,1000,0.1,500,True,32.09470890847152
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,624.8415105735442,22.721758502896183,0.016399635002017,2.733468770980835,0.001,128,3,1000,0.1,500,True,32.239816751222534
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,638.7873381547022,22.721758502896183,0.0161307379603385,2.734386444091797,0.001,128,3,1000,0.1,500,True,32.14395249666397
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,13492.451901355422,22.721758502896183,0.200848639011383,2.782907724380493,0.001,128,3,1000,0.1,500,False,18.89660670224255
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,11579.824703762968,22.721758502896183,0.1697487086057663,2.871826410293579,0.001,128,3,1000,0.1,500,False,19.560495637076812
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,11403.915168486446,22.721758502896183,0.1615544259548187,2.7108607292175293,0.001,128,3,1000,0.1,500,False,19.62697570750087
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,6327.881747040245,22.721758502896183,0.0896375626325607,2.666936159133911,0.001,128,3,1000,0.1,500,False,22.18493194125724
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,11718.457185512883,22.721758502896183,0.1671031862497329,2.6802978515625,0.001,128,3,1000,0.1,500,False,19.508811111399496
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,661.2091700133868,22.721758502896183,0.0162500012665987,2.7286317348480225,0.001,128,3,1000,0.1,1000,True,31.994126807905516
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,805.7311511671687,22.721758502896183,0.0183802675455808,2.849313259124756,0.001,128,3,1000,0.1,1000,True,31.13561394110905
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,669.1299337976908,22.721758502896183,0.0165929608047008,2.604297876358032,0.001,128,3,1000,0.1,1000,True,31.942410901141226
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,654.3558308755856,22.721758502896183,0.0169325415045022,2.6042356491088867,0.001,128,3,1000,0.1,1000,True,32.03937572062254
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,658.7769554781627,22.721758502896183,0.0170006193220615,2.659780263900757,0.001,128,3,1000,0.1,1000,True,32.01013149956859
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,8971.359636462517,22.721758502896183,0.1234672367572784,2.7182765007019043,0.001,128,3,1000,0.1,1000,False,20.668932821035888
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,18396.454538204904,22.721758502896183,0.2733208239078522,2.8828866481781006,0.001,128,3,1000,0.1,1000,False,17.550174172173698
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,24041.51009506777,22.721758502896183,0.3180749118328094,2.6588850021362305,0.001,128,3,1000,0.1,1000,False,16.387898056794086
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,14508.091016409388,22.721758502896183,0.2005836218595504,2.635934829711914,0.001,128,3,1000,0.1,1000,False,18.581412773066965
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,17182.03161866215,22.721758502896183,0.2461518794298172,2.6945931911468506,0.001,128,3,1000,0.1,1000,False,17.846770348708738
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,409.73134334211846,22.721758502896183,0.0077770287171006,6.12555718421936,0.001,128,3,1000,0.5,1,True,34.07252361187237
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,539.9467087098394,22.721758502896183,0.0091443862766027,6.144595146179199,0.001,128,3,1000,0.5,1,True,32.87400650528091
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,447.50464488160975,22.721758502896183,0.0083458619192242,6.073864698410034,0.001,128,3,1000,0.5,1,True,33.689540013252525
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,384.69237758324965,22.721758502896183,0.0078643867745995,6.080594301223755,0.001,128,3,1000,0.5,1,True,34.346379676235955
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,408.4524190512048,22.721758502896183,0.0083953561261296,6.103960275650024,0.001,128,3,1000,0.5,1,True,34.08610076263527
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,12705.645860786895,22.721758502896183,0.2021083533763885,6.152621269226074,0.001,128,3,1000,0.5,1,False,19.157548025096595
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,4225.296112836763,22.721758502896183,0.0601237751543521,6.156704664230347,0.001,128,3,1000,0.5,1,False,23.938943986376607
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,6233.880692038989,22.721758502896183,0.0996333584189415,6.089284896850586,0.001,128,3,1000,0.5,1,False,22.24993062549872
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,8971.810909000586,22.721758502896183,0.1396108865737915,6.150506973266602,0.001,128,3,1000,0.5,1,False,20.66871437004066
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,8235.09406898427,22.721758502896183,0.1273240447044372,6.172874689102173,0.001,128,3,1000,0.5,1,False,21.04082984313235
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,454.68458207831327,22.721758502896183,0.0079717803746461,7.319480180740356,0.001,128,3,1000,0.5,10,True,33.62041320825091
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,524.3595331848227,22.721758502896183,0.0088547961786389,7.340648889541626,0.001,128,3,1000,0.5,10,True,33.001223806091886
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,454.6429729334002,22.721758502896183,0.0082249762490391,7.2057294845581055,0.001,128,3,1000,0.5,10,True,33.62081065847543
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,386.8945011818106,22.721758502896183,0.0078696133568882,7.310043096542358,0.001,128,3,1000,0.5,10,True,34.32158991502209
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,411.492218875502,22.721758502896183,0.0082101570442318,7.285747289657593,0.001,128,3,1000,0.5,10,True,34.05389921445734
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,7094.191591888387,22.721758502896183,0.1138333305716514,7.359737396240234,0.001,128,3,1000,0.5,10,False,21.688486355394957
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,5068.645505197875,22.721758502896183,0.071113184094429,7.340399742126465,0.001,128,3,1000,0.5,10,False,23.148596305008823
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,7024.783881620231,22.721758502896183,0.107534036040306,7.269530773162842,0.001,128,3,1000,0.5,10,False,21.731185811100502
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,2095.4010102911648,22.721758502896183,0.0475462824106216,7.249316692352295,0.001,128,3,1000,0.5,10,False,26.984843997984996
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,8591.623389390898,22.721758502896183,0.1516607254743576,7.313377141952515,0.001,128,3,1000,0.5,10,False,20.85676317131128
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,435.9469074213521,22.721758502896183,0.007910274900496,6.193234443664551,0.001,128,3,1000,0.5,100,True,33.80317947613065
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,542.1773683274765,22.721758502896183,0.0092787528410553,6.338606834411621,0.001,128,3,1000,0.5,100,True,32.85610163548496
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,461.5750828836178,22.721758502896183,0.0085147051140666,6.247913360595703,0.001,128,3,1000,0.5,100,True,33.55509192419736
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,379.1795110128012,22.721758502896183,0.0076272021979093,6.176687717437744,0.001,128,3,1000,0.5,100,True,34.409066865949555
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,407.65581205028445,22.721758502896183,0.0081791440024971,6.210309267044067,0.001,128,3,1000,0.5,100,True,34.09457910218476
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,6620.290628660475,22.721758502896183,0.1016589328646659,6.234489917755127,0.001,128,3,1000,0.5,100,False,21.988744935187782
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,7563.853716951138,22.721758502896183,0.1085626780986785,6.288409948348999,0.001,128,3,1000,0.5,100,False,21.410084276600898
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,3415.3099677355253,22.721758502896183,0.061818428337574,6.194125652313232,0.001,128,3,1000,0.5,100,False,24.863214231307673
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,8874.299451713103,22.721758502896183,0.1469759494066238,6.2191245555877686,0.001,128,3,1000,0.5,100,False,20.716174694358685
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,4474.3285734082165,22.721758502896183,0.0680826976895332,6.215517520904541,0.001,128,3,1000,0.5,100,False,23.690236753143814
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,441.5757182375335,22.721758502896183,0.0079190786927938,6.112131834030151,0.001,128,3,1000,0.5,500,True,33.747463647646654
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,503.1729469963186,22.721758502896183,0.0091267628595232,6.193519115447998,0.001,128,3,1000,0.5,500,True,33.18034265467502
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,405.3318129287985,22.721758502896183,0.0078934822231531,6.118774890899658,0.001,128,3,1000,0.5,500,True,34.11940857590837
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,416.3078603476405,22.721758502896183,0.0083316266536712,6.088038921356201,0.001,128,3,1000,0.5,500,True,34.00336937848175
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,420.2441641566265,22.721758502896183,0.0082977386191487,6.114561319351196,0.001,128,3,1000,0.5,500,True,33.96249857570922
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,7323.798279053715,22.721758502896183,0.1253201812505722,6.178375482559204,0.001,128,3,1000,0.5,500,False,21.550151748387314
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,9005.098411876674,22.721758502896183,0.1524958908557891,6.291822195053101,0.001,128,3,1000,0.5,500,False,20.652630854148192
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,5952.224604145749,22.721758502896183,0.0985009148716926,6.1013343334198,0.001,128,3,1000,0.5,500,False,22.450722380403064
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,4263.668676006108,22.721758502896183,0.0585319325327873,6.099429130554199,0.001,128,3,1000,0.5,500,False,23.899680998810688
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,7680.023399587935,22.721758502896183,0.1369582712650299,6.219212770462036,0.001,128,3,1000,0.5,500,False,21.343890055198955
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,456.8942410266064,22.721758502896183,0.0082887792959809,6.21058464050293,0.001,128,3,1000,0.5,1000,True,33.59935864789145
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,554.969632435994,22.721758502896183,0.0091983033344149,6.157506227493286,0.001,128,3,1000,0.5,1000,True,32.75482329295408
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,436.3708911165496,22.721758502896183,0.0082412371411919,6.073439359664917,0.001,128,3,1000,0.5,1000,True,33.798957762575114
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,402.09530570197455,22.721758502896183,0.0081137605011463,6.106794595718384,0.001,128,3,1000,0.5,1000,True,34.15422545844804
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,418.2991915578983,22.721758502896183,0.0084448494017124,6.106064319610596,0.001,128,3,1000,0.5,1000,True,33.98264523541666
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,6204.561816275519,22.721758502896183,0.0976020991802215,6.113227128982544,0.001,128,3,1000,0.5,1000,False,22.270404329554246
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,7921.354986351656,22.721758502896183,0.1165584176778793,6.178442716598511,0.001,128,3,1000,0.5,1000,False,21.209520726368176
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,5619.49620487157,22.721758502896183,0.0943528339266777,6.134317636489868,0.001,128,3,1000,0.5,1000,False,22.70054166516826
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,6957.830551372155,22.721758502896183,0.0995841026306152,6.112709045410156,0.001,128,3,1000,0.5,1000,False,21.77277700886151
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,8616.994060878933,22.721758502896183,0.1381643265485763,6.147526502609253,0.001,128,3,1000,0.5,1000,False,20.843957551517242
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,436.5680338541667,22.721758502896183,0.0072299465537071,10.180076599121094,0.001,128,3,1000,1.0,1,True,33.79699615902872
