model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,zero_percent,outermost_linear,original_psnr
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1336.3798305199966,15.244594136755884,0.0129207409918308,11.664092063903809,0.001,128,4,100,0.5,True,28.938216363954066
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1350.4920227786145,15.244594136755884,0.0126039274036884,11.152822256088257,0.001,128,4,100,0.5,True,28.892595255701366
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1497.0379813524933,15.244594136755884,0.0064700562506914,57.012102365493774,0.001,128,4,500,0.5,True,28.445187297984177
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1725.5743050326305,15.244594136755884,0.0071919318288564,56.53037929534912,0.001,128,4,500,0.5,True,27.828178835627412
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1576.978537849314,15.244594136755884,0.006908745970577,47.870943546295166,0.001,128,4,500,0.5,True,28.219257660006726
SIREN,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1344.2486064047855,15.244594136755884,0.0070505286566913,55.40634202957153,0.001,128,4,500,0.5,True,28.91271953854887
SIREN,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1443.778537326389,15.244594136755884,0.0076542403548955,54.20126748085022,0.001,128,4,500,0.5,True,28.602509673016797
SIREN,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1610.9264871987953,15.244594136755884,0.006723818834871,110.43522810935974,0.001,128,4,1000,0.5,True,28.126758264312734
SIREN,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1812.5782805701972,15.244594136755884,0.0068804062902927,108.9863166809082,0.001,128,4,1000,0.5,True,27.614547770630658
SIREN,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1426.052160464776,15.244594136755884,0.0075402143411338,96.84349417686462,0.001,128,4,1000,0.5,True,28.656161378461004
