model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,fourier_features,scale,original_psnr
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1324.380288079401,241.37835279267907,0.0242950562387704,0.9704046249389648,0.001,32,2,500,32,10,28.97738840626996
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1231.824174301372,241.37835279267907,0.0237580854445695,1.018618106842041,0.001,32,2,500,32,10,29.292028259874677
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,241.37835279267907,0.0275743417441844,1.0189857482910156,0.001,32,2,500,32,20,28.092026811291618
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1906.9722392172855,241.37835279267907,0.0296755004674196,0.997788667678833,0.001,32,2,500,32,20,27.39407177924808
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,241.37835279267907,0.0268863644450902,1.0251727104187012,0.001,32,2,500,32,20,28.355174592972276
FFNet,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1425.4748812960174,241.37835279267907,0.025888493284583,1.01560378074646,0.001,32,2,500,32,20,28.65791979882499
FFNet,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.5381944444443,241.37835279267907,0.0272252392023801,1.01373291015625,0.001,32,2,500,32,20,28.762564175732667
FFNet,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1438.6973767465695,146.62219666474985,0.0238007381558418,1.2391130924224854,0.001,32,2,500,64,10,28.617820970338776
FFNet,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1370.6410041206493,146.62219666474985,0.0221579875797033,1.2641973495483398,0.001,32,2,500,64,10,28.82827828729928
FFNet,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1193.8302363098226,146.62219666474985,0.0214163623750209,1.591517210006714,0.001,32,2,500,64,10,29.428089746334344
