lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,zero_fraction,refresh_interval,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model,original_mse_std,training_time_std
0.001,128,3,1000,True,45,100,0.1,1,738.6105114468289,22.721758502896183,0.020187934767454816,2.698568248748779,31.5323321506909,SIREN,72.80935219747506,0.11647414383270836
0.001,128,3,1000,True,45,100,0.2,1,432.7173879763847,22.721758502896183,0.01098226681351656,3.6090705394744873,33.86906908755838,SIREN,57.00075448980787,0.086041095094526
0.001,128,3,1000,True,45,100,0.3,1,351.47975038173524,22.721758502896183,0.00790575661230828,4.483733654022217,34.77827012962058,SIREN,50.84931975636179,0.061687954252199806
0.001,128,3,1000,True,45,100,0.4,1,316.44117616298524,22.721758502896183,0.0064487760653718805,5.2969752788543705,35.22686608067919,SIREN,40.69119294456792,0.05642569244544449
0.001,128,3,1000,True,45,100,0.5,1,325.93655056423614,22.721758502896183,0.0063306816620751745,6.101319622993469,35.140591386496475,SIREN,63.27310493474156,0.04409819504640542
0.001,128,3,1000,True,45,100,0.6,1,314.5515981896335,22.721758502896183,0.005731712421402285,6.909252274036407,35.32025721847593,SIREN,72.63465762048095,0.036516830311556094
0.001,128,3,1000,True,45,100,0.7,1,311.27435667147756,22.721758502896183,0.005322673707269085,7.71818984746933,35.32912787634073,SIREN,54.32596685235198,0.02687209118065791
0.001,128,3,1000,True,45,100,0.8,1,322.21103607136877,22.721758502896183,0.005652235110755955,8.531074488162995,35.21740640487333,SIREN,74.34201703356736,0.018125067497098826
0.001,128,3,1000,True,45,100,0.9,1,343.5933834295515,22.721758502896183,0.005716788896825109,9.349757027626037,34.94502789296375,SIREN,78.71641206015111,0.013104193221903268
0.001,128,3,1000,True,45,100,1.0,1,378.06266210676034,22.721758502896183,0.006072055979166135,10.154407846927644,34.6263850031772,SIREN,116.47170688029615,0.004985207424346455
