lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,zero_fraction,refresh_interval,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.001,128,3,2000,True,45,100,0.1,100,597.9221456137049,22.721758502896183,0.016637378931045478,5.456386661529541,32.459407192987115,SIREN
0.001,128,3,2000,True,45,100,0.2,100,333.5181507279117,22.721758502896183,0.008482146449387041,7.27933259010315,34.99636581343715,SIREN
0.001,128,3,2000,True,45,100,0.3,100,287.8900045494478,22.721758502896183,0.0064271587878465194,9.081113195419311,35.64177246740254,SIREN
0.001,128,3,2000,True,45,100,0.4,100,293.0183138805221,22.721758502896183,0.006145436502993059,10.735537242889404,35.59009475313755,SIREN
0.001,128,3,2000,True,45,100,0.5,100,283.57698659220216,22.721758502896183,0.00529743824154134,12.364568042755128,35.77960958128318,SIREN
0.001,128,3,2000,True,45,100,0.6,100,315.1238270791499,22.721758502896183,0.00618206905201072,14.003826093673705,35.319732910544865,SIREN
0.001,128,3,2000,True,45,100,0.7,100,274.0616664574967,22.721758502896183,0.0045976561494171,15.642632484436035,36.21016656970745,SIREN
0.001,128,3,2000,True,45,100,0.8,100,260.12348247155285,22.721758502896183,0.00469178180210288,17.274137830734254,36.0893425324994,SIREN
0.001,128,3,2000,True,45,100,0.9,100,349.09185099774095,22.721758502896183,0.00641407631337636,18.908907270431516,34.88545270564145,SIREN
0.001,128,3,2000,True,45,100,1.0,100,317.04397799531455,22.721758502896183,0.00512178540229794,20.532512521743776,35.44850381465112,SIREN
