model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,zero_fraction,refresh_interval,a,s,original_psnr
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,406.76447587223896,3.8504960811851583,0.0057966238819062,137.9930543899536,0.001,256,4,2000,1,1000,15,100,34.10408531277269
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,220.47801623159305,3.8504960811851583,0.0034499703906476,138.01412630081177,0.001,256,4,2000,1,1000,15,100,36.763862561209635
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,314.1223108580154,3.8504960811851583,0.004988195374608,137.9719362258911,0.001,256,4,2000,1,1000,15,100,35.22652765063867
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1201.360828731593,3.8504960811851583,0.0185759533196687,137.9740345478058,0.001,256,4,2000,1,1000,15,200,29.40078081421325
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1389.6934025163152,3.8504960811851583,0.0199056882411241,137.97527241706848,0.001,256,4,2000,1,1000,15,200,28.76832553032838
WIRE,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1118.828190365629,3.8504960811851583,0.0185833647847175,138.00287866592407,0.001,256,4,2000,1,1000,15,200,29.70988148302141
WIRE,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,960.921893302376,3.8504960811851583,0.0167377665638923,137.98056864738464,0.001,256,4,2000,1,1000,15,200,30.370634604599957
WIRE,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1020.6128040809068,3.8504960811851583,0.0189121756702661,137.97285318374634,0.001,256,4,2000,1,1000,15,200,30.108905363025226
WIRE,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,75.71733025853413,3.8504960811851583,0.0010292883962392,138.06124091148376,0.001,256,4,2000,1,1000,30,50,41.40556256132849
WIRE,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,43.27776078271419,3.8504960811851583,0.0005024299025535,138.02956652641296,0.001,256,4,2000,1,1000,30,50,43.83486766744106
