lr,hidden_features,hidden_layers,max_iters,fourier_features,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.0001,128,4,1000,32,981.1838101102327,13.191825472104856,0.016843092814087822,11.197628593444824,30.496673353391213,FFNet
0.0001,128,4,1000,64,805.0105432145249,11.558819529443763,0.010493709612637719,12.01817090511322,31.52192628624898,FFNet
0.0001,128,4,2000,32,977.0521443848311,13.191825472104856,0.01211487944237884,22.388704776763916,30.606091843628473,FFNet
0.0001,128,4,2000,64,646.8077264788319,11.558819529443763,0.00820202548056835,24.0302316904068,32.57990914634153,FFNet
0.0001,256,2,100,32,1576.5827400748828,9.250662119508036,0.028101759403943983,1.2476116180419923,28.24829750797764,FFNet
0.0001,256,2,100,64,1576.586918115169,7.720852300828682,0.02791489642113442,1.3737019777297974,28.248287665586236,FFNet
0.0001,256,2,500,32,1450.928627923151,9.250662119508036,0.02456625513732429,6.223918199539185,28.63725813393317,FFNet
0.0001,256,2,500,64,1261.7917081084756,7.720852300828682,0.02140651829540725,6.85310730934143,29.359273659860623,FFNet
0.0001,256,2,1000,32,1125.7560702445198,9.250662119508036,0.01950652394443746,12.443068504333496,29.813575432649724,FFNet
0.0001,256,2,1000,64,973.3506655528363,7.720852300828682,0.01686196140944953,13.700471448898316,30.525555495674087,FFNet
0.0001,256,2,2000,32,911.4248057333501,9.250662119508036,0.01615953734144564,24.882175064086915,30.736790295561168,FFNet
0.0001,256,2,2000,64,615.7632599408049,7.720852300828682,0.011232508439570622,27.38912045955658,32.58930596231595,FFNet
0.0001,256,3,100,32,1576.0908175671436,5.151689441746756,0.02754573710262771,2.0613267183303834,28.24941988690818,FFNet
0.0001,256,3,100,64,1576.5815663696453,4.639723410062778,0.027621649205684617,2.183005928993225,28.24830084306793,FFNet
0.0001,256,3,500,32,1201.676906584672,5.151689441746756,0.02080671899020668,10.283203172683717,29.477572734531588,FFNet
0.0001,256,3,500,64,948.729059074841,4.639723410062778,0.01670071799308055,10.92811381816864,30.67332833789925,FFNet
0.0001,256,3,1000,32,889.3718397025602,5.151689441746756,0.015777617692947322,20.58070001602173,30.923336869887095,FFNet
0.0001,256,3,1000,64,534.6495854511797,4.639723410062778,0.00833280635997648,21.846259355545044,33.46204702842433,FFNet
0.0001,256,3,2000,32,696.4845223341282,5.151689441746756,0.010065257269889081,41.13594591617584,32.08498468700603,FFNet
0.0001,256,3,2000,64,391.5602350809488,4.639723410062778,0.00443432722240681,43.657834553718565,34.90446073171232,FFNet
0.0001,256,4,100,32,1571.521845193273,3.5698758126315497,0.02770438082516189,2.8650866508483888,28.262921491103004,FFNet
0.0001,256,4,100,64,1576.129392047356,3.3163008276358403,0.027557729370891997,2.9938575983047486,28.249587608371296,FFNet
0.0001,256,4,500,32,1042.1354029398847,3.5698758126315497,0.01817824980244036,14.365003371238709,30.163959814671944,FFNet
0.0001,256,4,500,64,659.7255135123829,3.3163008276358403,0.01140660108067089,15.022893691062928,32.362345381207334,FFNet
0.0001,256,4,1000,32,657.1973231467537,3.5698758126315497,0.00954228709451849,28.711470365524292,32.27134152265437,FFNet
0.0001,256,4,1000,64,515.2061485525435,3.3163008276358403,0.00560201762709761,30.07040617465973,33.766666620689975,FFNet
0.0001,256,4,2000,32,579.7667909920934,3.5698758126315497,0.00576361631974574,57.45779020786286,33.1876279209556,FFNet
0.0001,256,4,2000,64,359.1864766357095,3.3163008276358403,0.0036815142724662604,60.12919988632202,35.34424476340037,FFNet
0.001,32,2,100,32,1576.4787270174447,241.37835279267907,0.027922988869249772,0.22587258815765376,28.24858643355815,FFNet
0.001,32,2,100,64,1577.14673681706,146.62219666474985,0.02779800351709122,0.26209523677825924,28.247024011830405,FFNet
0.001,32,2,500,32,1535.5515035402025,241.37835279267907,0.02650987468659871,0.9975696563720703,28.374476359510624,FFNet
0.001,32,2,500,64,1379.2756129988707,146.62219666474985,0.02397117167711254,1.2879839897155763,28.85193623454826,FFNet
0.001,32,2,1000,32,1481.409616852828,241.37835279267907,0.02566841598600142,1.9700018644332886,28.535645509425194,FFNet
0.001,32,2,1000,64,1297.6881373148844,146.62219666474985,0.02232422884553665,2.4824275016784667,29.11007891276845,FFNet
0.001,32,2,2000,32,1465.4620266221134,241.37835279267907,0.0246505163609981,3.910176634788513,28.575373734127634,FFNet
0.001,32,2,2000,64,1330.6911951190177,146.62219666474985,0.02173304650932545,4.966247010231018,29.043903377724227,FFNet
0.001,32,3,100,32,1575.8741660653027,181.0480473372781,0.027733707614243003,0.275808310508728,28.250229669081598,FFNet
0.001,32,3,100,64,1536.1089578365545,121.93974175035869,0.02671721670776601,0.3373692750930786,28.352743223673457,FFNet
0.001,32,3,500,32,1429.439533655455,181.0480473372781,0.02508613076061005,1.3554430723190307,28.695601644818954,FFNet
0.001,32,3,500,64,1244.8004656647422,121.93974175035869,0.021227920986711928,1.6109971284866333,29.33818133187342,FFNet
0.001,32,3,1000,32,1405.6758251757028,181.0480473372781,0.02456167042255396,2.656797194480896,28.777235177657637,FFNet
0.001,32,3,1000,64,1168.2692742323459,121.93974175035869,0.02025517802685493,3.204218530654907,29.597877749358855,FFNet
0.001,32,3,2000,32,1813.5672612324295,181.0480473372781,0.02300079371780152,5.308220267295837,27.895166846963455,FFNet
0.001,32,3,2000,64,1173.8926036175953,121.93974175035869,0.020014017261564678,6.406694412231445,29.62014114689159,FFNet
0.001,32,4,100,32,1576.1458262738454,144.84529445180837,0.027826732210814893,0.34975786209106446,28.24966170911913,FFNet
0.001,32,4,100,64,1541.0236407871066,104.37003683995087,0.027030625194311098,0.395967960357666,28.346580875743296,FFNet
0.001,32,4,500,32,1317.5159413696451,144.84529445180837,0.023797762580215882,1.6955781698226928,29.04490938508477,FFNet
0.001,32,4,500,64,1136.7596128001592,104.37003683995087,0.0204382356256246,1.962436819076538,29.73606164074809,FFNet
0.001,32,4,1000,32,1357.6609352775686,144.84529445180837,0.02338390164077275,3.3818204402923584,28.949446699725293,FFNet
0.001,32,4,1000,64,1289.3189187740545,104.37003683995087,0.019930324889719443,3.9226321935653687,29.473198745154072,FFNet
0.001,32,4,2000,32,1431.624432234145,144.84529445180837,0.02258299663662906,6.761256361007691,28.85567535772895,FFNet
0.001,32,4,2000,64,1051.7736861508533,104.37003683995087,0.01962816976010794,7.8555272102355955,30.052181154787167,FFNet
0.001,64,2,100,32,1572.9495055743807,91.2257602862254,0.027502368576824608,0.27900559902191163,28.257078023905013,FFNet
0.001,64,2,100,64,1552.7136576252929,61.28739684320167,0.02627413179725403,0.3597378015518188,28.310206847267388,FFNet
0.001,64,2,500,32,1361.1733292545182,91.2257602862254,0.02362139299511907,1.3936840534210204,28.90680807052591,FFNet
0.001,64,2,500,64,1125.7665283529955,61.28739684320167,0.01979299988597626,1.6575269460678101,29.797257742461674,FFNet
0.001,64,2,1000,32,1275.4393532463187,91.2257602862254,0.02197313979268071,2.761229467391968,29.19729041297552,FFNet
0.001,64,2,1000,64,1141.9020850328398,61.28739684320167,0.01750527108088131,3.326133608818054,29.75758929147608,FFNet
0.001,64,2,2000,32,1232.6344138271838,91.2257602862254,0.021096723526716172,5.498400378227234,29.36409643580661,FFNet
0.001,64,2,2000,64,1061.9943580310826,61.28739684320167,0.01658720830455419,6.586612582206726,30.025358760077246,FFNet
0.001,64,3,100,32,1551.523329254518,60.97473096851335,0.027064273878931962,0.41919496059417727,28.312610353627964,FFNet
0.001,64,3,100,64,1550.4032669741466,45.96646836127636,0.026605567708611437,0.48260228633880614,28.329076447782352,FFNet
0.001,64,3,500,32,1352.735593415328,60.97473096851335,0.02087487503886219,1.967647171020508,28.979044731104768,FFNet
0.001,64,3,500,64,1121.6294962401691,45.96646836127636,0.016328643728047577,2.2189575672149657,29.901510543868547,FFNet
0.001,64,3,1000,32,1353.723020598017,60.97473096851335,0.019588653743267,3.8961047410964964,28.97990527926122,FFNet
0.001,64,3,1000,64,1081.7065560418757,45.96646836127636,0.01458470085635776,4.419107294082641,30.215773398583945,FFNet
0.001,64,3,2000,32,1340.3854468655875,60.97473096851335,0.01770094707608218,7.711920189857483,29.055645003846088,FFNet
0.001,64,3,2000,64,860.2792989667001,45.96646836127636,0.01395248873159285,8.785804486274719,31.070722502998144,FFNet
0.001,64,4,100,32,1545.117577602075,45.79036216701586,0.02697965744882818,0.529878568649292,28.34727044515069,FFNet
0.001,64,4,100,64,1426.2563480484437,36.77361665304553,0.02466841321438546,0.5665392637252807,28.719401060375382,FFNet
0.001,64,4,500,32,1313.2448142831745,45.79036216701586,0.01957134781405325,2.529709053039551,29.21774651048231,FFNet
0.001,64,4,500,64,963.5517446086429,36.77361665304553,0.01572774667292828,2.75870795249939,30.507529282710173,FFNet
0.001,64,4,1000,32,1178.1423175776022,45.79036216701586,0.01778748054057353,5.031616759300232,29.687688657345962,FFNet
0.001,64,4,1000,64,762.1724980651774,36.77361665304553,0.013896996807306949,5.5173495054245,31.51162866445797,FFNet
0.001,64,4,2000,32,978.3788027108434,45.79036216701586,0.01694023991003629,9.954339981079102,30.47761521429959,FFNet
0.001,64,4,2000,64,730.7565858486028,36.77361665304553,0.0126255876384675,11.025470447540282,31.721695653825996,FFNet
0.001,128,2,100,32,1571.9681919082582,30.644926084692123,0.02697903327643868,0.5651664972305298,28.259725545091477,FFNet
0.001,128,2,100,64,1495.0701013690177,23.07266310741109,0.02506868485361331,0.6648470163345337,28.486539975381447,FFNet
0.001,128,2,500,32,1224.1999346343707,30.644926084692123,0.02141203302890057,2.789414405822754,29.407877899649804,FFNet
0.001,128,2,500,64,858.9426859782882,23.07266310741109,0.01563632115721697,3.183272457122803,31.046753538415096,FFNet
0.001,128,2,1000,32,1082.9369724993726,30.644926084692123,0.01913754092529412,5.532792448997498,29.99153323391471,FFNet
0.001,128,2,1000,64,739.1217247897841,23.07266310741109,0.01350846244022245,6.338873100280762,31.754340125250003,FFNet
0.001,128,2,2000,32,942.9105419072123,30.644926084692123,0.01681564645841713,11.02353835105896,30.5935203211151,FFNet
0.001,128,2,2000,64,663.6884160339274,23.07266310741109,0.011016452172771049,12.595435214042663,32.16375293561332,FFNet
0.001,128,3,100,32,1536.8698246109439,18.443999710655124,0.02657897155731913,0.8382812738418579,28.354526597022677,FFNet
0.001,128,3,100,64,1433.415857832371,15.401751736635456,0.02447353620082135,0.9272053718566895,28.695180523084407,FFNet
0.001,128,3,500,32,1070.6929471793424,18.443999710655124,0.01457355385646219,4.19086971282959,30.065134669715015,FFNet
0.001,128,3,500,64,807.1085818534555,15.401751736635456,0.00987448790110642,4.586398243904114,31.648278443994535,FFNet
0.001,128,3,1000,32,1335.445791760793,18.443999710655124,0.01217139093205327,8.349968600273133,29.45366552911522,FFNet
0.001,128,3,1000,64,711.9945319036563,15.401751736635456,0.008593335747718759,9.159533739089966,31.995633947894362,FFNet
0.001,128,3,2000,32,1093.8998960686497,18.443999710655124,0.010678657377138679,16.669685626029967,31.105753584886052,FFNet
0.001,128,3,2000,64,494.4155452539324,15.401751736635456,0.0071185063803568,18.332247161865233,33.672912009552626,FFNet
0.001,128,4,100,32,1480.6256893459254,13.191825472104856,0.02574973013252015,1.142335796356201,28.532147687676076,FFNet
0.001,128,4,100,64,1268.7942794615963,11.558819529443763,0.02155006043612953,1.2137808084487915,29.29750957224917,FFNet
0.001,128,4,500,32,860.6762879643575,13.191825472104856,0.01287496881559485,5.603895545005798,31.021860087165486,FFNet
0.001,128,4,500,64,710.5355518427878,11.558819529443763,0.01025522560812528,6.011175656318665,32.154480353736396,FFNet
0.001,128,4,1000,32,753.0591490963856,13.191825472104856,0.01019377489574248,11.197238636016845,31.614794954156356,FFNet
0.001,128,4,1000,64,542.3112094210175,11.558819529443763,0.007639525434933581,12.030720543861388,33.53186669128481,FFNet
0.001,128,4,2000,32,540.624679708417,13.191825472104856,0.00854913126677272,22.403079175949095,33.285545329924275,FFNet
0.001,128,4,2000,64,349.52200886880854,11.558819529443763,0.00523761715739962,24.033064699172975,35.06964317310272,FFNet
0.001,256,2,100,32,1574.8015017099647,9.250662119508036,0.0270029596984386,1.2543911695480348,28.253821344772888,FFNet
0.001,256,2,100,64,1552.5159313033382,7.720852300828682,0.025677864439785442,1.3886282920837403,28.314266795506047,FFNet
0.001,256,2,500,32,1134.3326309142822,9.250662119508036,0.01938327793031924,6.218534970283509,29.826395461108923,FFNet
0.001,256,2,500,64,639.1784825499916,7.720852300828682,0.01200701589696105,6.826629424095154,32.400830687061266,FFNet
0.001,256,2,1000,32,815.7516725757196,9.250662119508036,0.014919219352304868,12.462466287612916,31.215605789401064,FFNet
0.001,256,2,1000,64,473.3960094283384,7.720852300828682,0.00922007779590781,13.659494972229004,33.81615335534546,FFNet
0.001,256,2,2000,32,637.3233888679719,9.250662119508036,0.01160324215888972,24.854792404174805,32.39305958446867,FFNet
0.001,256,2,2000,64,399.7284832036479,7.720852300828682,0.00763483536429699,27.327111434936523,34.464341058970966,FFNet
0.001,256,3,100,32,1548.8056947843456,5.151689441746756,0.026885969936847644,2.0482937574386595,28.338789734624406,FFNet
0.001,256,3,100,64,1331.6210597598729,4.639723410062778,0.02265564166009422,2.1793567657470705,29.046021537400826,FFNet
0.001,256,3,500,32,895.7248164533132,5.151689441746756,0.0095221155788749,10.21893138885498,31.519761552428378,FFNet
0.001,256,3,500,64,600.0521566735694,4.639723410062778,0.00472958926111455,10.835347723960876,33.37958917569934,FFNet
0.001,256,3,1000,32,490.12492352221386,5.151689441746756,0.0059734871610998596,20.43144021034241,33.844942455157,FFNet
0.001,256,3,1000,64,297.7744885793173,4.639723410062778,0.00322935930453237,21.649006605148315,36.119681124707164,FFNet
0.001,256,3,2000,32,316.966706801163,5.151689441746756,0.00378074506297702,40.850135350227355,36.18855949460283,FFNet
0.001,256,3,2000,64,142.90168068105757,4.639723410062778,0.0019252052356023002,43.28142879009247,39.149286508005005,FFNet
0.001,256,4,100,32,1427.8120169480003,3.5698758126315497,0.02478680983185763,2.8479223966598513,28.69408350860033,FFNet
0.001,256,4,100,64,1158.5429501861613,3.3163008276358403,0.01988813700154419,3.0104251861572267,29.67331722069691,FFNet
0.001,256,4,500,32,2222.365650884789,3.5698758126315497,0.00996652615722263,14.209057474136353,31.60126747289762,FFNet
0.001,256,4,500,64,474.3160592892403,3.3163008276358403,0.00759064025478432,14.831157302856445,35.19690565650857,FFNet
0.001,256,4,1000,32,195.64718953940763,3.5698758126315497,0.00307801470626141,28.41400065422058,37.60601986894762,FFNet
0.001,256,4,1000,64,425.18916172502514,3.3163008276358403,0.00480369609431359,29.631188702583312,36.06089304402616,FFNet
0.001,256,4,2000,32,328.2553435094545,3.5698758126315497,0.00464324339991432,56.846292924880984,35.63742800647514,FFNet
0.001,256,4,2000,64,392.3628150623327,3.3163008276358403,0.00556194126256737,59.32452864646912,36.29944191885811,FFNet
