lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,sample_fraction,original_mse_mean,original_mse_std,compression_ratio_mean,compression_ratio_std,transformed_mse_mean,transformed_mse_std,training_time_mean,training_time_std,original_psnr_mean,original_psnr_std,model_first
0.001,128,3,1000,True,45,100,0.1,423.7362035381108,58.58637681831885,22.721758502896183,0.0,0.009555942378938146,0.0012098367018251322,1.8805838584899903,0.08595526636671125,33.96300249345385,0.5667202239455391,SIREN
0.001,128,3,1000,True,45,100,0.2,371.2427755945658,49.579534900059805,22.721758502896183,0.0,0.008572227880358656,0.0010272359009039227,3.0028302907943725,0.029376940664531996,34.535310099157,0.5512553944149052,SIREN
0.001,128,3,1000,True,45,100,0.3,346.61927161772087,44.466392269600405,22.721758502896183,0.0,0.008094714791513925,0.0009691432275077802,4.004422199726105,0.013036754781718608,34.831600232043705,0.5409562514495885,SIREN
0.001,128,3,1000,True,45,100,0.4,331.23421923370563,41.931085634203754,22.721758502896183,0.0,0.00776813707780088,0.0009461024146359469,5.0137003540992735,0.006267282091943905,35.02770926071093,0.5315063972013454,SIREN
0.001,128,3,1000,True,45,100,0.5,326.7561375057522,43.744903026406284,22.721758502896183,0.0,0.007691794401034654,0.0009279161724758352,5.939859473705292,0.02743157969861164,35.08983399395508,0.5534405109306544,SIREN
0.001,128,3,1000,True,45,100,0.6,319.6459662870231,39.954334071863684,22.721758502896183,0.0,0.007555726333521255,0.0008811204391044971,6.910283041000366,0.0872132810483095,35.18148200944313,0.5232608757225058,SIREN
0.001,128,3,1000,True,45,100,0.7,314.5108942933191,43.55805949067184,22.721758502896183,0.0,0.007440734026022194,0.0009218481187099311,7.798369896411896,0.026128166735373354,35.25800164182578,0.5705236544506685,SIREN
0.001,128,3,1000,True,45,100,0.8,313.2343263679719,37.04213324703953,22.721758502896183,0.0,0.007453274284489405,0.000869118797963525,8.758333361148834,0.058841000353590245,35.26666014160486,0.5005575214776649,SIREN
0.001,128,3,1000,True,45,100,0.9,311.60012445615797,45.821389721488444,22.721758502896183,0.0,0.007412123493850185,0.000957305968762375,9.709797024726868,0.10864960720398505,35.303907919087806,0.6151033703344981,SIREN
0.001,128,3,1000,True,45,100,1.0,314.2827134057062,43.85266119207732,22.721758502896183,0.0,0.007462378055788535,0.000906892413807912,10.590431356430054,0.029334807487081536,35.262047981649225,0.5787035824089524,SIREN
