model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,outermost_linear,original_psnr
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,88.5230876056012,0.0269953198730945,6.802132844924927,0.001,64,3,1000,True,28.63819676769929
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,88.5230876056012,0.0276660304516553,6.801396608352661,0.001,64,3,1000,True,28.762149161719424
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,88.5230876056012,0.0278771687299013,6.83725118637085,0.001,64,3,1000,False,28.092026811291618
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,88.5230876056012,0.0301168449223041,6.835863590240479,0.001,64,3,1000,False,27.39395688165706
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,88.5230876056012,0.0269925519824028,6.834412574768066,0.001,64,3,1000,False,28.355174592972276
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,88.5230876056012,0.0269788391888141,6.836655378341675,0.001,64,3,1000,False,28.63819676769929
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,88.5230876056012,0.0277154613286256,6.832436561584473,0.001,64,3,1000,False,28.762149161719424
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,88.5230876056012,0.0279190316796302,13.600923776626589,0.001,64,3,2000,True,28.092026811291618
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,88.5230876056012,0.0300310272723436,13.597256660461426,0.001,64,3,2000,True,27.39395688165706
Gaussian,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1528.389654974063,88.5230876056012,0.0269432738423347,13.598050832748411,0.001,64,3,2000,True,28.355174592972276
Gaussian,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1431.963248828648,88.5230876056012,0.0269757993519306,13.597873210906982,0.001,64,3,2000,True,28.63819676769929
Gaussian,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1391.6711768950804,88.5230876056012,0.027653669938445,13.59817886352539,0.001,64,3,2000,True,28.762149161719424
Gaussian,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1623.8610601259204,88.5230876056012,0.0275578573346138,13.666849851608276,0.001,64,3,2000,False,28.092026811291618
Gaussian,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1907.0226910245144,88.5230876056012,0.0300774984061718,13.665435075759888,0.001,64,3,2000,False,27.39395688165706
