lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model,original_mse_std,training_time_std
0.001,128,3,500,True,45,100,346.6593980740671,22.721758502896183,0.00542866447940463,5.056245875358582,34.87533789165895,SIREN,67.1914290320222,0.020177704272958372
0.001,128,3,1000,True,45,100,360.32958572571533,22.721758502896183,0.00592239681864153,10.094400322437286,34.765011030052,SIREN,95.00982405157582,0.0075388228680765635
0.001,128,3,2000,True,45,100,325.0490308238161,22.721758502896183,0.0053370609646662594,20.18138552904129,35.219260177639526,SIREN,84.12066562490686,0.0019550153126090507
0.001,128,3,3000,True,45,100,345.7961064962977,22.721758502896183,0.005630114220548375,30.277114081382752,35.019839264896675,SIREN,114.62176929722622,0.025691372296826633
0.001,128,3,4000,True,45,100,300.93028428819446,22.721758502896183,0.004861447995062865,40.388800859451294,35.59074700659862,SIREN,89.8759581402528,0.04930448864250403
0.001,128,3,5000,True,45,100,319.9193466574632,22.721758502896183,0.00521381440339605,50.45323992967606,35.435904973434056,SIREN,121.69485699712017,0.010126306122300486
