lr,hidden_features,hidden_layers,max_iters,outermost_linear,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.001,64,3,100,False,8766.350631431978,88.5230876056012,0.13967412747442717,0.5383453845977784,23.768265655533515,AlternatingModel
0.001,64,3,100,True,1553.2284876485107,88.5230876056012,0.026300690323114363,0.539927864074707,28.310024696368668,AlternatingModel
0.001,64,3,500,False,1610.893745032212,88.5230876056012,0.0280843153595924,2.6769454002380373,28.177783389272793,AlternatingModel
0.001,64,3,500,True,1328.849875020917,88.5230876056012,0.022019513696432062,2.6682652473449706,28.997051680213172,AlternatingModel
0.001,64,3,1000,False,5313.958655716617,88.5230876056012,0.10155648626387115,5.363612079620362,25.379522602922165,AlternatingModel
0.001,64,3,1000,True,1146.569364175452,88.5230876056012,0.01910526677966112,5.335065174102783,29.634559475664993,AlternatingModel
0.001,64,3,2000,False,8498.424860640478,88.5230876056012,0.16550424396991728,10.699294757843017,22.058260817974986,AlternatingModel
0.001,64,3,2000,True,993.0907902443105,88.5230876056012,0.01669854335486882,10.668765354156495,30.251848128937905,AlternatingModel
0.001,64,4,100,False,1565.0048485609104,59.755331614717605,0.027288617938756882,0.7656578540802002,28.281739963079993,AlternatingModel
0.001,64,4,100,True,1502.0664548820282,59.755331614717605,0.025455149635672497,0.7620837211608886,28.458729824104996,AlternatingModel
0.001,64,4,500,False,1470.6284084253682,59.755331614717605,0.02533898912370202,3.8151018142700197,28.54817109540546,AlternatingModel
0.001,64,4,500,True,1138.509699213521,59.755331614717605,0.01879438050091262,3.7970006465911865,29.666076394220976,AlternatingModel
0.001,64,4,1000,False,1332.7733269013552,59.755331614717605,0.02289986796677106,7.625858879089355,28.978246751983175,AlternatingModel
0.001,64,4,1000,True,885.9354297397924,59.755331614717605,0.01536170784384008,7.591256046295166,30.75477600099539,AlternatingModel
0.001,64,4,2000,False,1039.4182893030454,59.755331614717605,0.0178371805697679,15.245812034606933,30.065765846307556,AlternatingModel
0.001,64,4,2000,True,745.1877996360442,59.755331614717605,0.0129304770380258,15.179130792617798,31.501015999987153,AlternatingModel
0.001,128,3,100,False,28855.037339723476,22.721758502896183,0.5246460914611817,1.1623617172241212,15.95757250121107,AlternatingModel
0.001,128,3,100,True,1514.1038994519745,22.721758502896183,0.02585494928061956,1.159779691696167,28.41928560196444,AlternatingModel
0.001,128,3,500,False,37211.789275330484,22.721758502896183,0.5060160875320434,5.798237037658692,14.594255920272989,AlternatingModel
0.001,128,3,500,True,1312.7676225736277,22.721758502896183,0.024967191368341402,5.79207558631897,29.057092703881246,AlternatingModel
0.001,128,3,1000,False,26757.963869017734,22.721758502896183,0.43318919092416763,11.594473600387573,16.894224816355504,AlternatingModel
0.001,128,3,1000,True,959.3065645394075,22.721758502896183,0.01607276108115906,11.576318311691285,30.429703303758895,AlternatingModel
0.001,128,3,2000,False,14717.365147046521,22.721758502896183,0.24710074439644814,23.180419635772704,19.739441056885475,AlternatingModel
0.001,128,3,2000,True,650.2606190386547,22.721758502896183,0.01145126800984138,23.148118114471433,32.10787256212443,AlternatingModel
0.001,128,4,100,False,1550.799468708166,15.244594136755884,0.02695311158895488,1.6734704494476318,28.31875353445172,AlternatingModel
0.001,128,4,100,True,1445.550937604585,15.244594136755884,0.02439415343105788,1.671218204498291,28.62857171949907,AlternatingModel
0.001,128,4,500,False,1400.6091875313755,15.244594136755884,0.0239451695233583,8.367157459259033,28.75578459837493,AlternatingModel
0.001,128,4,500,True,1066.9929329296351,15.244594136755884,0.01710798591375346,8.341426181793214,29.97770958891534,AlternatingModel
0.001,128,4,1000,False,1182.147510092453,15.244594136755884,0.020294952020049058,16.721364974975586,29.501065694847046,AlternatingModel
0.001,128,4,1000,True,647.043693785559,15.244594136755884,0.011355337873101199,16.683092451095582,32.109191032508924,AlternatingModel
0.001,128,4,2000,False,833.8855651773762,15.244594136755884,0.013955503888428178,33.42375273704529,31.040733506979972,AlternatingModel
0.001,128,4,2000,True,460.0093616654117,15.244594136755884,0.00792398834601042,33.356122207641604,33.625658401660246,AlternatingModel
0.001,256,3,100,False,25680.397845810327,5.757182102133744,0.5360715746879577,2.713967752456665,16.159212936861195,AlternatingModel
0.001,256,3,100,True,1520.486922690763,5.757182102133744,0.0254058856517076,2.711931848526001,28.405937912660285,AlternatingModel
0.001,256,3,500,False,30798.9950481614,5.757182102133744,0.5317788124084473,13.5572509765625,15.32476189746846,AlternatingModel
0.001,256,3,500,True,1150.3994987763556,5.757182102133744,0.018679490685462898,13.55371551513672,29.6126454121726,AlternatingModel
0.001,256,3,1000,False,21075.193483831157,5.757182102133744,0.3301565978676081,27.11161141395569,19.78037592323698,AlternatingModel
0.001,256,3,1000,True,746.9903386985441,5.757182102133744,0.012758301012217959,27.110488748550416,31.50059642612738,AlternatingModel
0.001,256,3,2000,False,1173.9638240461848,5.757182102133744,0.01929802447557446,54.23113780021667,29.55749998308852,AlternatingModel
0.001,256,3,2000,True,472.6405128325803,5.757182102133744,0.008203045092523061,54.22121114730835,33.47462717969412,AlternatingModel
0.001,256,4,100,False,1499.3109592013889,3.8504960811851583,0.02576605007052416,3.962581443786621,28.467549423060973,AlternatingModel
0.001,256,4,100,True,1452.0748086094377,3.8504960811851583,0.02486864514648908,3.9585493087768553,28.602310749209106,AlternatingModel
0.001,256,4,500,False,1112.4358261169677,3.8504960811851583,0.018753490224480578,19.809650087356566,29.892669705288824,AlternatingModel
0.001,256,4,500,True,973.4670486634037,3.8504960811851583,0.01579148955643172,19.794242954254152,30.321200775779584,AlternatingModel
0.001,256,4,1000,False,1122.50847844503,3.8504960811851583,0.01890307851135724,39.60602598190307,29.75305661126037,AlternatingModel
0.001,256,4,1000,True,502.0412734270415,3.8504960811851583,0.00851910775527354,39.59478464126587,33.22991872236369,AlternatingModel
0.001,256,4,2000,False,779.4222047042336,3.8504960811851583,0.012775657512247521,79.20963230133057,31.354344399579666,AlternatingModel
0.001,256,4,2000,True,245.55996276773763,3.8504960811851583,0.004757114220410559,79.18509950637818,36.315596931313614,AlternatingModel
