lr,hidden_features,hidden_layers,max_iters,input_scale,weight_scale,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.001,32,3,500,256.0,1.0,1349.208998493976,206.01346619983843,0.02361160516738884,2.645474672317505,28.928258466363115,FFNet2
0.001,32,3,1000,256.0,1.0,1288.0943152819611,206.01346619983843,0.02278706878423688,5.278174829483032,29.125814009503507,FFNet2
0.001,32,3,2000,256.0,1.0,1243.903039501757,206.01346619983843,0.022051445022225342,10.554181051254272,29.278901085780255,FFNet2
0.001,32,4,100,256.0,1.0,1527.1513546372994,156.20338983050848,0.02774976491928096,0.6773151874542236,28.379940014777326,FFNet2
0.001,32,4,500,256.0,1.0,1219.3801338165163,156.20338983050848,0.0217421513050794,3.3731557846069338,29.367508241697898,FFNet2
0.001,32,4,1000,256.0,1.0,1158.6163931768742,156.20338983050848,0.02068664133548732,6.743841075897217,29.590507242320435,FFNet2
0.001,32,4,2000,256.0,1.0,1116.2925347222222,156.20338983050848,0.02020779140293592,13.488030576705933,29.75348488271399,FFNet2
0.001,64,2,100,256.0,1.0,1398.7955496465026,83.57128810226155,0.0242959018796682,0.5975158214569092,28.770836248026875,FFNet2
0.001,64,2,500,256.0,1.0,1073.4996621904284,83.57128810226155,0.019270465895533502,2.9720938205718994,29.92660923068135,FFNet2
0.001,64,2,1000,256.0,1.0,1028.5257561495985,83.57128810226155,0.01850902847945686,5.9405097484588625,30.113018004318473,FFNet2
0.001,64,2,2000,256.0,1.0,997.7860711073461,83.57128810226155,0.01797058545053,11.886902236938477,30.24546248182176,FFNet2
0.001,64,3,100,256.0,1.0,1175.6823256567939,56.373203625912005,0.02141481973230832,0.8311703205108643,29.542787216511112,FFNet2
0.001,64,3,500,256.0,1.0,825.4292077162818,56.373203625912005,0.01497410908341402,4.131971979141236,31.07845230158849,FFNet2
0.001,64,3,1000,256.0,1.0,786.1394222724231,56.373203625912005,0.014194821007549699,8.269129467010497,31.286487652103865,FFNet2
0.001,64,3,2000,256.0,1.0,768.2555749037817,56.373203625912005,0.013823872432112642,16.516419219970704,31.38772767317389,FFNet2
0.001,64,4,100,256.0,1.0,1039.0822218561746,42.53144286905755,0.018791969865560483,1.0609570503234864,30.07814278737094,FFNet2
0.001,64,4,500,256.0,1.0,660.3674570678547,42.53144286905755,0.0121116761118173,5.296675777435302,32.04091503528898,FFNet2
0.001,64,4,1000,256.0,1.0,627.3164833814424,42.53144286905755,0.011484549939632379,10.577776193618774,32.25496933605617,FFNet2
0.001,64,4,2000,256.0,1.0,603.0497304321452,42.53144286905755,0.011101001873612359,21.157250118255615,32.431290477005305,FFNet2
0.001,128,2,100,256.0,1.0,760.0014095444278,22.0510248205483,0.0133876454085111,1.2554332256317138,31.430987184720543,FFNet2
0.001,128,2,500,256.0,1.0,500.51896962851407,22.0510248205483,0.008491387031972381,6.246129703521729,33.24121570805157,FFNet2
0.001,128,2,1000,256.0,1.0,470.22602754769076,22.0510248205483,0.0078830950893461,12.489160013198852,33.51171965972595,FFNet2
0.001,128,2,2000,256.0,1.0,444.1083560805723,22.0510248205483,0.00757295927032822,24.973988199234007,33.75249560165548,FFNet2
0.001,128,3,100,256.0,1.0,567.2082454819277,14.79179316612844,0.00992152150720354,1.7626952171325683,32.68917734833013,FFNet2
0.001,128,3,500,256.0,1.0,328.0189725046017,14.79179316612844,0.00572294797748322,8.785496044158936,35.05843515630117,FFNet2
0.001,128,3,1000,256.0,1.0,292.11498860023426,14.79179316612844,0.0052510554902255,17.56854953765869,35.56556673341779,FFNet2
0.001,128,3,2000,256.0,1.0,279.4121417963521,14.79179316612844,0.00502532683312888,35.13250646591187,35.75031608730709,FFNet2
0.001,128,4,100,256.0,1.0,468.21717181224903,11.128329720528972,0.0082498332485556,2.2683218002319334,33.523057493787654,FFNet2
0.001,128,4,500,256.0,1.0,249.5357181329485,11.128329720528972,0.0045758315362036,11.32486824989319,36.25121906700942,FFNet2
0.001,128,4,1000,256.0,1.0,219.79518830530455,11.128329720528972,0.0041459640488028,22.643499755859374,36.79902558653055,FFNet2
0.001,128,4,2000,256.0,1.0,210.22154895624163,11.128329720528972,0.00392007259652012,45.284368658065794,37.00222093818881,FFNet2
0.001,256,2,100,256.0,1.0,345.30433112658966,5.669787196193102,0.005614576302468701,2.8238022327423096,34.835490179808126,FFNet2
0.001,256,2,500,256.0,1.0,219.77090732722553,5.669787196193102,0.0039796245284378,14.097423458099366,36.801242304042475,FFNet2
0.001,256,2,1000,256.0,1.0,206.38734207663987,5.669787196193102,0.0037925492972135195,28.176585388183593,37.07245762486726,FFNet2
0.001,256,2,2000,256.0,1.0,199.42589655496985,5.669787196193102,0.0036476627923548,56.340046644210815,37.219273919027046,FFNet2
0.001,256,3,100,256.0,1.0,277.3815062332664,3.791859375697098,0.00469025606289502,4.0335142612457275,35.77950179185348,FFNet2
0.001,256,3,500,256.0,1.0,179.9703015185743,3.791859375697098,0.0031678210943936803,20.128669452667236,37.686450672406494,FFNet2
0.001,256,3,1000,256.0,1.0,176.16468870272757,3.791859375697098,0.00298004872165616,40.2394356250763,37.78634131083448,FFNet2
0.001,256,3,2000,256.0,1.0,176.39917273259704,3.791859375697098,0.00289326980710026,80.47426481246949,37.78823638947744,FFNet2
0.001,256,4,100,256.0,1.0,240.87921242260708,2.848416466513992,0.0042299440130591,5.235211944580078,36.39770761269979,FFNet2
0.001,256,4,500,256.0,1.0,185.90501955739623,2.848416466513992,0.00283576427027578,26.180379486083986,37.589718721114366,FFNet2
0.001,256,4,1000,256.0,1.0,184.07245387801203,2.848416466513992,0.00265925051644438,52.33828744888306,37.661265202649254,FFNet2
0.001,256,4,2000,256.0,1.0,187.86155559738958,2.848416466513992,0.00258371634408826,104.6772213935852,37.594355850194546,FFNet2
