lr,hidden_features,hidden_layers,max_iters,a,s,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.001,128,3,2000,10,50,503.57213044887885,22.721758502896183,0.00912485830485818,46.77667384147644,33.18580861975693,WIRE
0.001,128,3,2000,10,100,1195.2374335885208,22.721758502896183,0.01954847425222392,46.77754011154175,29.462314204272865,WIRE
0.001,128,3,2000,10,200,1486.5317198481425,22.721758502896183,0.025793990865349704,46.76705441474915,28.50188837777342,WIRE
0.001,128,3,2000,15,50,534.3043776669176,22.721758502896183,0.00973845776170484,46.772189140319824,32.9634480270682,WIRE
0.001,128,3,2000,15,100,1142.0732665035139,22.721758502896183,0.01896735392510886,46.77433080673218,29.64577711950173,WIRE
0.001,128,3,2000,15,200,1468.2200251526942,22.721758502896183,0.02550001293420786,46.79566774368286,28.561551496738446,WIRE
0.001,128,3,2000,30,50,493.70684482722555,22.721758502896183,0.00928231291472906,46.771867752075195,33.28994330480568,WIRE
0.001,128,3,2000,30,100,1089.181226206911,22.721758502896183,0.01847436688840386,46.77432141304016,29.858113374714453,WIRE
0.001,128,3,2000,30,200,1483.1268814842704,22.721758502896183,0.02564247176051134,46.76886744499207,28.517286394598255,WIRE
