lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.001,128,3,2000,True,15,80,340.17916457496653,22.721758502896183,0.00627067545428866,20.371217441558837,34.90847048483654,SIREN
0.001,128,3,2000,True,15,100,343.7443327999498,22.721758502896183,0.00649426402524108,20.272599744796754,34.8548407898922,SIREN
0.001,128,3,2000,True,15,120,350.02321081199796,22.721758502896183,0.006572549324482641,20.272105836868285,34.78059921843031,SIREN
0.001,128,3,2000,True,15,150,334.98088133785143,22.721758502896183,0.00648501720279452,20.281708669662475,35.0320957674232,SIREN
0.001,128,3,2000,True,15,200,301.7653985734605,22.721758502896183,0.00584660754539068,20.27580490112305,35.46121102541195,SIREN
0.001,128,3,2000,True,30,80,264.9946907421352,22.721758502896183,0.00462265266105526,20.262392425537108,36.003045557768814,SIREN
0.001,128,3,2000,True,30,100,260.130492020164,22.721758502896183,0.0038853618782013002,20.270568561553954,36.098858731301235,SIREN
0.001,128,3,2000,True,30,120,264.9880741716867,22.721758502896183,0.00394335202872748,20.265985584259035,35.980362130264574,SIREN
0.001,128,3,2000,True,30,150,287.6467751213186,22.721758502896183,0.0038498542271553997,20.274848842620848,35.70885040581932,SIREN
0.001,128,3,2000,True,30,200,322.98510526480925,22.721758502896183,0.0040075696073472,20.2804123878479,35.1656102721822,SIREN
0.001,128,3,2000,True,45,80,339.9254531145415,22.721758502896183,0.00589191648177798,20.290723085403442,35.02192282169565,SIREN
0.001,128,3,2000,True,45,100,236.87319747740966,22.721758502896183,0.0037657811772077803,20.27661418914795,36.494607386069944,SIREN
0.001,128,3,2000,True,45,120,304.2355094858601,22.721758502896183,0.00518086082302028,20.28034119606018,35.47815505578975,SIREN
0.001,128,3,2000,True,45,150,376.516898060994,22.721758502896183,0.00632665222510688,20.285270786285402,34.612916149845276,SIREN
0.001,128,3,2000,True,45,200,298.5273607450636,22.721758502896183,0.00414770185016092,20.27123851776123,35.6215253093214,SIREN
0.001,128,4,2000,True,15,80,128.50466292252344,15.244594136755884,0.00187201197259124,27.551790761947633,39.145274409523,SIREN
0.001,128,4,2000,True,15,100,125.71730515813253,15.244594136755884,0.0016905222320928801,27.557765674591064,39.218392704286195,SIREN
0.001,128,4,2000,True,15,120,120.95680403907295,15.244594136755884,0.00151808527298266,27.555679512023925,39.386177520113776,SIREN
0.001,128,4,2000,True,15,150,116.12467996987952,15.244594136755884,0.0015712486580013799,27.55035972595215,39.611088890439106,SIREN
0.001,128,4,2000,True,15,200,141.07878833040496,15.244594136755884,0.00169821924064304,27.543687105178833,38.761134591854514,SIREN
0.001,128,4,2000,True,30,80,138.3956777631359,15.244594136755884,0.00195468873716888,27.55449342727661,38.88724883761677,SIREN
0.001,128,4,2000,True,30,100,127.94841919762382,15.244594136755884,0.0017656901618465198,27.56475625038147,39.23028787392853,SIREN
0.001,128,4,2000,True,30,120,127.75042409220214,15.244594136755884,0.0017615912714972599,27.557536792755126,39.21812100218632,SIREN
0.001,128,4,2000,True,30,150,162.3900827267403,15.244594136755884,0.00205394460353996,27.55331392288208,38.16327082443964,SIREN
0.001,128,4,2000,True,30,200,212.12340534011045,15.244594136755884,0.00254403920844194,27.558366298675537,37.16498325331936,SIREN
0.001,128,4,2000,True,45,80,196.74742877761045,15.244594136755884,0.00224984197411684,27.58188247680664,37.30078678854455,SIREN
0.001,128,4,2000,True,45,100,171.79748499205152,15.244594136755884,0.00205947710201138,27.55650658607483,37.98443808308419,SIREN
0.001,128,4,2000,True,45,120,168.97026543674698,15.244594136755884,0.0020882366225122998,27.555068063735963,38.00373579745538,SIREN
0.001,128,4,2000,True,45,150,207.5027921582162,15.244594136755884,0.0023678785189985797,27.559996175765992,37.134554654836116,SIREN
0.001,128,4,2000,True,45,200,251.71308646042502,15.244594136755884,0.00292172506451602,27.55143313407898,36.349022919013386,SIREN
0.001,256,3,2000,True,15,80,103.13302167001339,5.757182102133744,0.0025218599475919797,48.91268968582153,40.10470477329462,SIREN
0.001,256,3,2000,True,15,100,96.31705519996653,5.757182102133744,0.00241157216951246,48.92464466094971,40.39685758798275,SIREN
0.001,256,3,2000,True,15,120,83.12644039700469,5.757182102133744,0.0022643397096543997,48.843635940551756,41.07066262886056,SIREN
0.001,256,3,2000,True,15,150,74.45852786144579,5.757182102133744,0.00202156689483666,48.871761894226076,41.52280984460635,SIREN
0.001,256,3,2000,True,15,200,53.84743557563587,5.757182102133744,0.00104701750678936,48.87671246528625,43.092877587729106,SIREN
0.001,256,3,2000,True,30,80,76.33202105296185,5.757182102133744,0.0018014901084825,48.91453733444214,41.430162807598165,SIREN
0.001,256,3,2000,True,30,100,55.19089718247992,5.757182102133744,0.00107004620367658,48.90046977996826,42.868729132977045,SIREN
0.001,256,3,2000,True,30,120,37.56870973477242,5.757182102133744,0.00061794031062156,48.87535252571106,44.76520806436571,SIREN
0.001,256,3,2000,True,30,150,34.769925012550196,5.757182102133744,0.00043171236757182,48.90983419418335,45.30900295582431,SIREN
0.001,256,3,2000,True,30,200,54.69196917879852,5.757182102133744,0.00072368046676272,48.88734436035156,45.0493332636122,SIREN
0.001,256,3,2000,True,45,80,101.32526276982932,5.757182102133744,0.00271156914532182,48.90189452171326,40.204502246580624,SIREN
0.001,256,3,2000,True,45,100,98.13382697456493,5.757182102133744,0.0024381746305152203,48.86403379440308,40.38559214598644,SIREN
0.001,256,3,2000,True,45,120,106.9241468478079,5.757182102133744,0.0026761681772768,48.830125188827516,39.935999770317196,SIREN
0.001,256,3,2000,True,45,150,115.00666781710171,5.757182102133744,0.00173837498296048,48.85616660118103,39.887575558826526,SIREN
0.001,256,3,2000,True,45,200,156.17849758408633,5.757182102133744,0.00123064176877956,48.90132131576538,40.78091914636953,SIREN
0.001,256,4,2000,True,15,80,47.771362533467205,3.8504960811851583,0.0008041455585043201,68.46760854721069,43.659593408478614,SIREN
0.001,256,4,2000,True,15,100,32.23864729752343,3.8504960811851583,0.00029913373291488,68.43155608177184,45.27650768082916,SIREN
0.001,256,4,2000,True,15,120,26.335817750167337,3.8504960811851583,0.00021307722781780002,68.40159244537354,46.27520069103288,SIREN
0.001,256,4,2000,True,15,150,19.456209734772422,3.8504960811851583,0.00012109521485391999,68.39157934188843,47.48204987043114,SIREN
0.001,256,4,2000,True,15,200,36.11041692812918,3.8504960811851583,0.00028108597616661736,68.37382187843323,45.48543447466684,SIREN
