lr,hidden_features,hidden_layers,max_iters,a,s,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.001,256,3,2000,10,50,139.5842748598561,5.757182102133744,0.00305129340849812,101.24861588478089,38.788307379928824,WIRE
0.001,256,3,2000,10,100,397.0880885521252,5.757182102133744,0.006518188770860379,101.22224969863892,34.245489716973985,WIRE
0.001,256,3,2000,10,200,1056.144470067771,5.757182102133744,0.01702315416187042,101.32129096984863,29.998604803463387,WIRE
0.001,256,3,2000,15,50,116.84863019787483,5.757182102133744,0.00248198579065496,101.25776257514954,39.621650391172025,WIRE
0.001,256,3,2000,15,100,368.8867472494143,5.757182102133744,0.00649401387199752,101.2267077922821,34.6230139883062,WIRE
0.001,256,3,2000,15,200,1150.2870929028616,5.757182102133744,0.0187915079295635,101.23546676635742,29.639543393374048,WIRE
0.001,256,3,2000,30,50,152.47374550284474,5.757182102133744,0.0028640877455472402,101.26533303260803,38.498824927574304,WIRE
0.001,256,3,2000,30,100,300.9626309927209,5.757182102133744,0.00581806441768996,101.2258225440979,35.42331883462693,WIRE
0.001,256,3,2000,30,200,1124.0924847828815,5.757182102133744,0.01859928593039508,101.24453077316284,29.712548202940184,WIRE
