lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.001,128,3,500,True,45,100,327.203113364918,22.721758502896183,0.007642987091094215,5.272338616847992,35.07295170087245,SIREN_IMP
0.001,128,3,1000,True,45,100,307.9022630888136,22.721758502896183,0.00734084160067137,10.54136518239975,35.35269711160431,SIREN_IMP
0.001,128,3,2000,True,45,100,308.937100746737,22.721758502896183,0.0074526975629850695,21.080710208415987,35.34012916025564,SIREN_IMP
0.001,128,3,3000,True,45,100,293.29453425681896,22.721758502896183,0.007047800906002474,31.61757391691208,35.56461538322525,SIREN_IMP
0.001,128,3,4000,True,45,100,291.03268647506695,22.721758502896183,0.00704331388697024,42.15422888994217,35.60782102763045,SIREN_IMP
0.001,128,3,5000,True,45,100,288.0071062897423,22.721758502896183,0.006934822420589586,52.692169797420505,35.65644781564331,SIREN_IMP
