lr,hidden_features,hidden_layers,max_iters,outermost_linear,hidden_omega_zero,first_omega_zero,zero_fraction,refresh_interval,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.001,128,3,5000,True,45,100,0.1,100,549.0312031982096,22.721758502896183,0.01494875419884916,13.57069296836853,32.83998512428428,SIREN
0.001,128,3,5000,True,45,100,0.2,100,329.4867375753012,22.721758502896183,0.00780383115634316,18.188081073760987,35.055347531474595,SIREN
0.001,128,3,5000,True,45,100,0.3,100,283.8972985692771,22.721758502896183,0.0060277472250163,22.658615827560425,35.697260162812476,SIREN
0.001,128,3,5000,True,45,100,0.4,100,243.82396983768407,22.721758502896183,0.0048760665580629805,26.764634132385254,36.39558608803138,SIREN
0.001,128,3,5000,True,45,100,0.5,100,265.81682720465193,22.721758502896183,0.00446272785775358,30.878514957427978,36.090150088135886,SIREN
0.001,128,3,5000,True,45,100,0.6,100,227.17488051162985,22.721758502896183,0.0042227015364914595,34.95571751594544,36.836511125223424,SIREN
0.001,128,3,5000,True,45,100,0.7,100,293.20360556810573,22.721758502896183,0.0056443062610923595,39.03536219596863,35.67833083971478,SIREN
0.001,128,3,5000,True,45,100,0.8,100,278.72454714692105,22.721758502896183,0.00495129041373724,43.14566631317139,36.03163313550851,SIREN
0.001,128,3,5000,True,45,100,0.9,100,306.21943241716866,22.721758502896183,0.00536389448679978,47.2170693397522,35.449050839224576,SIREN
0.001,128,3,5000,True,45,100,1.0,100,268.60913210132196,22.721758502896183,0.00452701705507928,51.33224029541016,35.96864915652417,SIREN
