lr,hidden_features,hidden_layers,max_iters,outermost_linear,original_mse,compression_ratio,transformed_mse,training_time,original_psnr,model
0.0001,32,2,100,False,2016.615716511881,628.5357436318817,0.07825565896928306,0.2053648471832275,27.225482036883683,SIREN
0.0001,32,2,100,True,1576.5815663696453,628.5357436318817,0.02739305309951302,0.2064146518707275,28.24830084306793,SIREN
0.0001,32,2,500,False,1565.639326577142,628.5357436318817,0.0269059088081121,0.9723831176757812,28.279820669485428,SIREN
0.0001,32,2,500,True,1541.3222101949464,628.5357436318817,0.025998214259743656,0.9662296295166015,28.342868008460137,SIREN
0.0001,32,2,1000,False,1553.4353944423526,628.5357436318817,0.02635120823979372,1.961067295074463,28.312303461828527,SIREN
0.0001,32,2,1000,True,1476.0240359877007,628.5357436318817,0.02481497637927526,1.922172212600708,28.54212100372634,SIREN
0.0001,32,2,2000,False,1541.8125381735274,628.5357436318817,0.026111332327127403,3.91216778755188,28.345616691320583,SIREN
0.0001,32,2,2000,True,1417.5594565763051,628.5357436318817,0.02384468689560886,3.8546295166015625,28.71322265240385,SIREN
0.0001,32,3,100,False,1669.9540377656456,336.5279366476023,0.031329495459794944,0.29088850021362306,28.003475369627004,SIREN
0.0001,32,3,100,True,1576.5271029430219,336.5279366476023,0.026994835585355703,0.2898253440856934,28.248455615595965,SIREN
0.0001,32,3,500,False,2160.8724915286143,336.5279366476023,0.03199662491679188,1.4614457130432128,27.314513334148295,SIREN
0.0001,32,3,500,True,1332.773312520917,336.5279366476023,0.022337848320603322,1.4530550003051759,28.97817641071765,SIREN
0.0001,32,3,1000,False,1524.5280274744812,336.5279366476023,0.026807475090026824,2.8650841236114504,28.39447226946114,SIREN
0.0001,32,3,1000,True,1280.9688909282963,336.5279366476023,0.021555067226290643,2.880963182449341,29.14896113523601,SIREN
0.0001,32,3,2000,False,1481.774156521921,336.5279366476023,0.024964718520641298,5.725512838363647,28.51706871511097,SIREN
0.0001,32,3,2000,True,1248.9852101112785,336.5279366476023,0.021130837127566283,5.67979736328125,29.263732492416814,SIREN
0.0001,32,4,100,False,1588.947303537065,229.7771102433163,0.02884919308125966,0.3833327770233154,28.209732909937735,SIREN
0.0001,32,4,100,True,1542.9682524368304,229.7771102433163,0.026087227836251205,0.41139812469482423,28.34565282108533,SIREN
0.0001,32,4,500,False,1516.03581905748,229.7771102433163,0.025746151804923963,1.8960092067718506,28.41971907280569,SIREN
0.0001,32,4,500,True,1315.0310892005523,229.7771102433163,0.02190519459545606,1.8953658103942872,29.07537448580722,SIREN
0.0001,32,4,1000,False,1497.3485441767068,229.7771102433163,0.02531530968844884,3.8171948432922362,28.471708989252516,SIREN
0.0001,32,4,1000,True,1178.4010037546018,229.7771102433163,0.0197552748024463,3.77835955619812,29.506996684395666,SIREN
0.0001,32,4,2000,False,1399.9540657421353,229.7771102433163,0.02343579269945618,7.569250059127808,28.755867286706017,SIREN
0.0001,32,4,2000,True,1119.4624249602577,229.7771102433163,0.018961907923221537,7.561580753326416,29.733910706074095,SIREN
0.0001,64,2,100,False,1849.9511959295517,170.7047534032582,0.08570578470826144,0.34398360252380367,27.651418896021248,SIREN
0.0001,64,2,100,True,1564.5926764349065,170.7047534032582,0.02643098160624498,0.3379624366760254,28.282164561981183,SIREN
0.0001,64,2,500,False,2751.8953051790495,170.7047534032582,0.03731573894619936,1.671647882461548,26.461882600038116,SIREN
0.0001,64,2,500,True,1376.0949522046517,170.7047534032582,0.022909951582550957,1.6840316772460937,28.840099172073575,SIREN
0.0001,64,2,1000,False,2024.738570689006,170.7047534032582,0.030234883353114063,3.118984746932983,27.404043908911273,SIREN
0.0001,64,2,1000,True,1295.0897117114291,170.7047534032582,0.021459532529115637,3.103789281845093,29.108168804183975,SIREN
0.0001,64,2,2000,False,1468.2100618620316,170.7047534032582,0.02943717502057548,6.257322883605957,28.5579659933166,SIREN
0.0001,64,2,2000,True,1181.5818210341365,170.7047534032582,0.019609296321868842,6.179292869567871,29.501232270222527,SIREN
0.0001,64,3,100,False,1596.653688190261,88.5230876056012,0.0363833621144294,0.4705369472503662,28.194999386883815,SIREN
0.0001,64,3,100,True,1524.2884653196118,88.5230876056012,0.025527048110961858,0.4658945083618164,28.388620925881774,SIREN
0.0001,64,3,500,False,1932.1162088457997,88.5230876056012,0.0288446974009275,2.3248542308807374,27.653751280182966,SIREN
0.0001,64,3,500,True,1149.3611422251504,88.5230876056012,0.01878108084201808,2.303660535812378,29.681306879176873,SIREN
0.0001,64,3,1000,False,1433.3160587663153,88.5230876056012,0.024037452414631823,4.622775506973267,28.663367604469205,SIREN
0.0001,64,3,1000,True,887.6575928714859,88.5230876056012,0.01512902174144978,4.6042859077453615,30.749474277078367,SIREN
0.0001,64,3,2000,False,1338.7024695134705,88.5230876056012,0.02220038846135136,9.241155242919922,28.955524183384142,SIREN
0.0001,64,3,2000,True,847.026492166583,88.5230876056012,0.014585989527404258,9.213855504989624,30.9406170057388,SIREN
0.0001,64,4,100,False,1525.5674659575802,59.755331614717605,0.026759681850671742,0.6164402484893798,28.38825206044631,SIREN
