model,data_sample,file_name,original_mse,compression_ratio,transformed_mse,training_time,lr,hidden_features,hidden_layers,max_iters,outermost_linear,original_psnr
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1827.3461816014053,88.5230876056012,0.0276848264038562,5.3590264320373535,0.001,64,3,1000,False,27.57930718701199
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1412.2806368703982,88.5230876056012,0.0241410043090581,5.349005222320557,0.001,64,3,1000,False,28.69830544024374
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,4208.269201807229,88.5230876056012,0.0689769685268402,5.350132465362549,0.001,64,3,1000,False,23.956480350358852
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1326.949438378514,88.5230876056012,0.0248698219656944,5.35015082359314,0.001,64,3,1000,False,28.96897173793803
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1022.3922055409136,88.5230876056012,0.0162507612258195,10.668591022491457,0.001,64,3,2000,True,30.10134018891218
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1185.943211648678,88.5230876056012,0.0181890297681093,10.664328813552856,0.001,64,3,2000,True,29.45687655234707
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,963.202992961429,88.5230876056012,0.0161029137670993,10.668933629989624,0.001,64,3,2000,True,30.360337253676537
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,911.2033380919512,88.5230876056012,0.0162481125444173,10.664041757583618,0.001,64,3,2000,True,30.601362467036633
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,882.712202978581,88.5230876056012,0.0167018994688987,10.677931547164915,0.001,64,3,2000,True,30.7393241827171
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,16472.467698920682,88.5230876056012,0.2918899953365326,10.704723834991457,0.001,64,3,2000,False,18.029928841604615
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,7201.903379141566,88.5230876056012,0.0971875190734863,10.696442127227783,0.001,64,3,2000,False,21.62304258194908
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1438.998938462182,88.5230876056012,0.0238712877035141,10.701494932174684,0.001,64,3,2000,False,28.61691075205875
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,11285.780588499832,88.5230876056012,0.1868447512388229,10.697619915008543,0.001,64,3,2000,False,19.672199460485615
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,6092.973698178129,88.5230876056012,0.2277276664972305,10.696192979812622,0.001,64,3,2000,False,22.349222453776868
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1576.7416998724063,59.7553316147176,0.0255952961742877,0.761986494064331,0.001,64,4,100,True,28.21990995265741
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1791.315787891148,59.7553316147176,0.0272443406283855,0.7621264457702637,0.001,64,4,100,True,27.665793951629787
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1483.0704837579483,59.7553316147176,0.0251339171081781,0.7622556686401367,0.001,64,4,100,True,28.485897571589817
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1353.9020783655455,59.7553316147176,0.0245263744145631,0.7622568607330322,0.001,64,4,100,True,28.88164293844369
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1305.3022245230925,59.7553316147176,0.0247758198529481,0.7617931365966797,0.001,64,4,100,True,29.040404706204264
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1616.0211470883537,59.7553316147176,0.0275204721838235,0.7651348114013672,0.001,64,4,100,False,28.113045091579224
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1901.4480369394244,59.7553316147176,0.0296770073473453,0.7659931182861328,0.001,64,4,100,False,27.406670873228435
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1514.498584180472,59.7553316147176,0.0263735111802816,0.7667293548583984,0.001,64,4,100,False,28.394826770955053
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1403.8853329986614,59.7553316147176,0.0260296240448951,0.7656283378601074,0.001,64,4,100,False,28.724199119701993
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1389.1711415976406,59.7553316147176,0.0268424749374389,0.7648036479949951,0.001,64,4,100,False,28.769957959935248
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1245.7675519787483,59.7553316147176,0.0195950586348772,3.7969791889190674,0.001,64,4,500,True,29.243145339805338
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1334.4375928191937,59.7553316147176,0.0201913304626941,3.797967195510864,0.001,64,4,500,True,28.94453280668296
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1069.9963277589525,59.7553316147176,0.0175899919122457,3.796531915664673,0.001,64,4,500,True,29.903692615835247
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,942.323233036312,59.7553316147176,0.0165432877838611,3.797199487686157,0.001,64,4,500,True,30.45551649960201
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1100.0237904743976,59.7553316147176,0.020052233710885,3.796325445175171,0.001,64,4,500,True,29.783494709179333
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1480.9306405308737,59.7553316147176,0.0246380269527435,3.815380573272705,0.001,64,4,500,False,28.492168299758553
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1769.1289350108768,59.7553316147176,0.0274658743292093,3.8183653354644775,0.001,64,4,500,False,27.719920631025907
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1463.6262197226406,59.7553316147176,0.024859981611371,3.8137402534484863,0.001,64,4,500,False,28.543213678357773
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1310.5223053673026,59.7553316147176,0.0242505669593811,3.814231395721436,0.001,64,4,500,False,29.023071316374676
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,1328.933941495147,59.7553316147176,0.0254804957658052,3.813791513442993,0.001,64,4,500,False,28.96248155151039
AlternatingModel,1,outer/12-2_0-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,850.1020462056559,59.7553316147176,0.014119210653007,7.592434644699097,0.001,64,4,1000,True,30.902804872364
AlternatingModel,2,outer/12-2_1-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,997.4424965486947,59.7553316147176,0.0167066343128681,7.589807748794556,0.001,64,4,1000,True,30.208636811516108
AlternatingModel,3,outer/12-2_2-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,875.285062123494,59.7553316147176,0.0146372634917497,7.591179847717285,0.001,64,4,1000,True,30.776020320357993
AlternatingModel,4,outer/12-2_3-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,991.1951451639892,59.7553316147176,0.0172877740114927,7.591154813766479,0.001,64,4,1000,True,30.235923825516792
AlternatingModel,5,outer/12-2_4-0/AuAu200_170kHz_10C_Iter2_3001.xml_TPCMLDataInterface_1.npy,715.6523986571285,59.7553316147176,0.0140576567500829,7.591703176498413,0.001,64,4,1000,True,31.650494175222036
